"age","parity","Freq","percentage"
"15-19","0",447.090617999999,16.6102141096846
"20-24","0",130.007616,4.83001488000285
"25-29","0",32.311554,1.20043187789872
"30-34","0",18.597465,0.690929004346423
"35-39","0",8.778856,0.326150162690486
"40-44","0",3.433152,0.127547721860476
"45-49","0",1.774168,0.0659135064796888
"15-19","1",122.79449,4.56203438021939
"20-24","1",112.108957,4.16504776529091
"25-29","1",35.081015,1.30332229502311
"30-34","1",15.343836,0.570050882221572
"35-39","1",6.551324,0.24339337476752
"40-44","1",0.96425,0.0358236078111204
"45-49","1",0.834106,0.0309885260221959
"15-19","2",35.930527,1.33488318143103
"20-24","2",178.027206,6.61402831988959
"25-29","2",66.115779,2.45631914651046
"30-34","2",21.246258,0.789336389987949
"35-39","2",22.49934,0.835890621902053
"40-44","2",11.17888,0.415315336155123
"45-49","2",8.073197,0.29993367187961
"15-19","3",1.404248,0.0521703185082191
"20-24","3",73.303386,2.72335156991566
"25-29","3",114.962781,4.27107241837669
"30-34","3",56.381052,2.09465667080776
"35-39","3",18.966007,0.704620997159413
"40-44","3",14.858751,0.552029109035098
"45-49","3",21.494693,0.79856619346895
"15-19","4",0,0
"20-24","4",21.960652,0.815877401632873
"25-29","4",107.085802,3.97842859526813
"30-34","4",67.987185,2.52584521817173
"35-39","4",53.475089,1.98669496085119
"40-44","4",28.865986,1.07242287948695
"45-49","4",12.345133,0.458643715808266
"15-19","5",0,0
"20-24","5",6.822325,0.253461545408351
"25-29","5",61.987847,2.30295910809825
"30-34","5",81.713818,3.03581412370368
"35-39","5",47.004451,1.74629921493495
"40-44","5",22.546255,0.837633597852748
"45-49","5",22.571124,0.838557525571343
"15-19","6",0,0
"20-24","6",0,0
"25-29","6",19.838679,0.737042318886918
"30-34","6",115.016614,4.27307241036974
"35-39","6",179.205916,6.65781949931718
"40-44","6",143.879925,5.34539590883425
"45-49","6",119.240463,4.42999593645674
