"space_mo","urban_rural","Freq"
"8","urban",5.413145
"9","urban",12.258855
"10","urban",3.818345
"11","urban",18.866704
"12","urban",15.482013
"13","urban",27.285871
"14","urban",23.774687
"15","urban",29.803873
"16","urban",52.237187
"17","urban",46.526409
"18","urban",51.90506
"19","urban",87.068626
"20","urban",53.016842
"21","urban",105.686288
"22","urban",99.017519
"23","urban",92.80862
"24","urban",125.425274
"25","urban",100.523226
"26","urban",105.266279
"27","urban",116.753613
"28","urban",76.246505
"29","urban",75.976218
"30","urban",86.68369
"31","urban",94.455134
"32","urban",89.00805
"33","urban",72.241993
"34","urban",57.258622
"35","urban",71.417765
"36","urban",80.171484
"37","urban",53.901117
"38","urban",78.830584
"39","urban",45.262639
"40","urban",56.156354
"41","urban",51.347384
"42","urban",35.759468
"43","urban",50.787045
"44","urban",54.137335
"45","urban",23.286224
"46","urban",62.26997
"47","urban",49.12601
"48","urban",36.961557
"49","urban",25.725326
"50","urban",33.478587
"51","urban",26.78602
"52","urban",20.502352
"53","urban",41.017934
"54","urban",12.728798
"55","urban",30.36514
"56","urban",28.199209
"57","urban",18.080862
"58","urban",10.706287
"59","urban",21.060062
"60","urban",26.152048
"61","urban",9.493313
"62","urban",18.920325
"63","urban",25.198804
"64","urban",12.15979
"65","urban",23.575926
"66","urban",6.357401
"67","urban",12.12238
"68","urban",12.065402
"69","urban",10.53027
"70","urban",8.954115
"71","urban",4.527379
"72","urban",5.452341
"73","urban",16.932591
"74","urban",8.287131
"75","urban",3.520941
"76","urban",8.137446
"77","urban",1.436032
"78","urban",9.09527
"79","urban",8.096987
"80","urban",7.819424
"81","urban",10.528506
"82","urban",4.912177
"83","urban",5.555942
"84","urban",15.655613
"85","urban",17.491818
"86","urban",9.613459
"87","urban",1.962816
"88","urban",4.488208
"89","urban",5.867581
"90","urban",4.542673
"92","urban",2.450371
"93","urban",5.454025
"94","urban",1.508923
"95","urban",15.757246
"96","urban",2.992124
"97","urban",17.447062
"98","urban",2.2791
"99","urban",6.541277
"100","urban",3.04184
"101","urban",2.788985
"104","urban",4.140634
"106","urban",1.962816
"107","urban",4.148311
"108","urban",7.687922
"109","urban",11.688226
"110","urban",1.563239
"111","urban",1.205234
"112","urban",3.621541
"114","urban",1.418023
"115","urban",0.632381
"118","urban",4.748857
"119","urban",1.418838
"120","urban",2.156604
"121","urban",2.156604
"122","urban",1.749932
"123","urban",0.632381
"125","urban",0
"129","urban",7.341853
"132","urban",2.347548
"133","urban",2.26381
"134","urban",1.689523
"138","urban",4.271364
"141","urban",13.411626
"143","urban",1.418838
"144","urban",3.164893
"147","urban",3.690074
"148","urban",3.164893
"150","urban",1.657797
"152","urban",13.411626
"154","urban",2.347548
"157","urban",0.68162
"159","urban",0.553333
"160","urban",0.909588
"8","rural",0
"9","rural",1.292498
"10","rural",0.646249
"11","rural",0.646249
"12","rural",0
"13","rural",1.969521
"14","rural",1.467168
"15","rural",1.969521
"16","rural",2.759666
"17","rural",3.467463
"18","rural",2.113417
"19","rural",3.436689
"20","rural",0.646249
"21","rural",3.262019
"22","rural",0.646249
"23","rural",1.938747
"24","rural",3.611359
"25","rural",2.79044
"26","rural",1.292498
"27","rural",3.292793
"28","rural",4.082938
"29","rural",5.23154
"30","rural",3.969816
"31","rural",2.96511
"32","rural",3.436689
"33","rural",3.292793
"34","rural",1.969521
"35","rural",5.436984
"36","rural",5.109301
"37","rural",1.323272
"38","rural",1.969521
"39","rural",0
"40","rural",1.969521
"41","rural",1.969521
"42","rural",0
"43","rural",0
"44","rural",1.323272
"45","rural",2.646544
"46","rural",1.323272
"47","rural",0.646249
"48","rural",1.323272
"49","rural",3.262019
"50","rural",0
"51","rural",0.646249
"52","rural",1.938747
"53","rural",1.323272
"54","rural",0
"55","rural",0.820919
"56","rural",0
"57","rural",0.820919
"58","rural",1.292498
"59","rural",1.467168
"60","rural",0
"61","rural",0
"62","rural",0
"63","rural",0.646249
"64","rural",1.969521
"65","rural",0.820919
"66","rural",1.969521
"67","rural",0
"68","rural",0
"69","rural",0
"70","rural",0
"71","rural",0
"72","rural",0
"73","rural",0
"74","rural",0
"75","rural",0
"76","rural",2.144191
"77","rural",1.467168
"78","rural",0.820919
"79","rural",0
"80","rural",0
"81","rural",0.646249
"82","rural",1.323272
"83","rural",0
"84","rural",0
"85","rural",0
"86","rural",0
"87","rural",0
"88","rural",0.646249
"89","rural",0
"90","rural",0
"92","rural",0
"93","rural",0
"94","rural",0
"95","rural",0
"96","rural",0
"97","rural",1.323272
"98","rural",0
"99","rural",0.646249
"100","rural",0.646249
"101","rural",0
"104","rural",0
"106","rural",0
"107","rural",0
"108","rural",0
"109","rural",0
"110","rural",0
"111","rural",0
"112","rural",0
"114","rural",0
"115","rural",0
"118","rural",0
"119","rural",0
"120","rural",0
"121","rural",0
"122","rural",0
"123","rural",0
"125","rural",1.323272
"129","rural",0
"132","rural",0
"133","rural",0
"134","rural",0
"138","rural",0
"141","rural",0
"143","rural",0
"144","rural",0
"147","rural",0
"148","rural",0
"150","rural",0
"152","rural",0
"154","rural",0
"157","rural",0
"159","rural",0
"160","rural",0
