rhs,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),-4.094596989548723,1.3007684584365056,-3.1478292412397026,0.0031956265077364167
"ns(age, knots = c(25, 40))1",0.02260435059980228,0.5705943676084543,0.03961544642395338,0.9686071190122972
"ns(age, knots = c(25, 40))2",2.002727053810529,1.2700076805842604,1.5769408991992748,0.12309879397048029
"ns(age, knots = c(25, 40))3",-4.61527245303581,0.7902087956017838,-5.840573375953184,9.420341347072416e-7
prior_userTRUE,3.4902411326837197,1.7263929252788393,2.0216956879153054,0.05029103672279353
edu.levelPrimary,0.7938164085628819,1.0468615846077924,0.7582821074290217,0.45295959488003323
edu.levelSecondary,0.6347952280845681,0.7027528445332774,0.9032979845227915,0.3720585595647977
parity,0.666385593278159,0.07402009829443484,9.002765581686088,5.81791741623465e-11
urban,0.07756068529604872,0.7967586459622007,0.09734526972391122,0.9229638448951349
wealthquintile,-0.18156307827985396,0.31637811298512714,-0.5738800214931088,0.569430426497205
"ns(age, knots = c(25, 40))1:prior_userTRUE",1.5395050013415135,1.0772336453531106,1.429128219288837,0.1611370327336423
"ns(age, knots = c(25, 40))2:prior_userTRUE",-0.7802509822616476,4.702778268280195,-0.16591277278037292,0.8691051999585706
"ns(age, knots = c(25, 40))3:prior_userTRUE",4.239369276212207,1.4322482684542635,2.959940234933916,0.005275309255326701
