rhs,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),-4.433959807671481,0.804965119862899,-5.508263275341259,5.228000278599587e-8
"ns(age, knots = c(25, 40))1",5.261267129719527,2.3706387472632917,2.2193457926869833,0.026808178272251994
"ns(age, knots = c(25, 40))2",-7.584646110978843,6.421159950628227,-1.1811956358814553,0.23795768214725527
"ns(age, knots = c(25, 40))3",-6.917081912911447,5.268327351566893,-1.3129559822918342,0.18966183086291932
prior_userTRUE,1.6429294642888708,2.483917694437875,0.6614266921838065,0.5085734597313021
edu.levelPrimary,-0.1653557992015012,0.5571312040186289,-0.2967986679058317,0.7667151832243208
edu.levelSecondary,1.1747084870132856,0.7305353208358165,1.6080105280457675,0.1083192084838654
parity,0.13361620129197024,0.11183310920366635,1.1947821378070902,0.23260860175619016
urban,0.07286463768811353,0.4482507903101519,0.16255328325845744,0.8709207703349622
wealthquintile,0.01561699564618526,0.14353724604910842,0.10880099818023689,0.9133939618712847
"ns(age, knots = c(25, 40))1:prior_userTRUE",0.1781510661378516,4.016643941780726,0.044353213458813746,0.9646364979502429
"ns(age, knots = c(25, 40))2:prior_userTRUE",-11.139272982504938,15.469173494026355,-0.720094902730681,0.47172581757713006
"ns(age, knots = c(25, 40))3:prior_userTRUE",-15.85518784675155,15.545061957305112,-1.0199501224439123,0.30813216630630746
