rhs,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),-5.200083273522007,1.0175164329420339,-5.110564414656728,7.85359933165389e-6
"age_grp(18,20]",3.2297096464651887,1.0311649082503,3.132098096652087,0.003198353941329571
"age_grp(20,25]",3.989636857823965,1.026460164089185,3.886791711360872,3.637920530937455e-4
"age_grp(25,35]",4.418751295258221,1.0336614004058187,4.274853732105509,1.1126211198488807e-4
"age_grp(35,50]",3.342559101713343,0.9907908858165377,3.373627219994711,0.001630583312801635
prior_userTRUE,-7.237811634681463,1.4194933729091384,-5.09886961983355,8.155796046279164e-6
"age_grp(18,20]:prior_userTRUE",8.586785473099178,2.017157388125821,4.256874314144284,1.1763293191653152e-4
"age_grp(20,25]:prior_userTRUE",8.922505007338698,1.516558949868625,5.883388184885018,6.338733391955777e-7
"age_grp(25,35]:prior_userTRUE",9.475680762609153,1.4618402041310048,6.482022272907728,8.924527077314867e-8
"age_grp(35,50]:prior_userTRUE",11.60468705597665,1.4464353863448738,8.022955719647847,6.169553523624816e-10
