rhs,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),14.342688065960537,1.0000005899098285,14.34267960507287,1.7416895596744858e-15
"age_grp(18,20]",0.6825586291728882,0.4951647740568708,1.3784474682653713,0.16834443988251147
"age_grp(20,25]",-14.235871648481634,1.354973843165833,-10.506381152879074,6.677851262702865e-12
"age_grp(25,35]",-14.352324213699378,1.0269848075960095,-13.975205969497873,3.576548174153222e-15
"age_grp(35,50]",-16.772076875277165,0.38160791802398447,-43.951071461318634,3.487692795600168e-30
prior_userTRUE,1.536655450073949,1.314837243027247,1.168703927594866,0.2511559220400339
"age_grp(18,20]:prior_userTRUE",-1.6690451782134113,1.4546859544945145,-1.1473577324759308,0.2514823816597984
"age_grp(20,25]:prior_userTRUE",-3.5883460544321077,1.6253771027552084,-2.207700630425661,0.03455299503147162
"age_grp(25,35]:prior_userTRUE",-1.2875253063915868,1.3133690015572395,-0.9803225939282789,0.3342808300798146
"age_grp(35,50]:prior_userTRUE",-0.9971391173152744,1.0150855841615698,-0.9823202426215927,0.32615732481171844
