rhs,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),-4.608518833128917,0.41589581581858215,-11.080945414317894,3.96780510433957e-27
"ns(age, knots = c(25, 40))1",0.5525717991383907,0.6346640792378611,0.8706523926829903,0.3841337690297828
"ns(age, knots = c(25, 40))2",1.3316726150664067,1.3827368150819215,0.9630701956738676,0.33572376567676054
"ns(age, knots = c(25, 40))3",0.6127636481676867,0.8234996955181647,0.7440969942097209,0.4569765701913081
prior_userTRUE,0.10266134566506717,1.5778504562876245,0.06506405296900529,0.9481348126920212
edu.levelPrimary,0.5356191695201804,0.2439102106829053,2.1959686231279196,0.028302197167203273
edu.levelSecondary,1.0174720743379169,0.2359703471301883,4.311864124929912,1.7639255749175887e-5
parity,0.012020384747299046,0.04927659051901251,0.24393702203607595,0.8073250421825243
urban,0.15937736993973461,0.17373295018050025,0.9173698470793774,0.3591497715388544
wealthquintile,0.28311680087296154,0.07579431603363951,3.7353302422744585,1.9707863693684135e-4
"ns(age, knots = c(25, 40))1:prior_userTRUE",0.357942650677804,1.0364721136224853,0.34534711158488307,0.729899400167825
"ns(age, knots = c(25, 40))2:prior_userTRUE",2.6509946411116507,4.240561151493594,0.6251518481647005,0.5320009445943368
"ns(age, knots = c(25, 40))3:prior_userTRUE",0.40152070066058093,2.009237731999231,0.19983732848828192,0.8416447084643361
