"edu","urban","percent"
"0","0",0.117945845979378
"1","0",0
"2","0",0.0115202898600329
"3","0",0.0581500387759741
"4","0",0.0235891691958756
"5","0",0.0235891691958756
"6","0",0.189632732056165
"7","0",0.0146340262524326
"8","0",0.0235891691958756
"9","0",0.049743485308341
"10","0",0
"11","0",0.0115202898600329
"12","0",0.245055100673495
"13","0",0
"14","0",0
"15","0",0.117072210019461
"16","0",0.113958473627061
"17","0",0
"18","0",0
"19","0",0
"0","1",0.0632814553421681
"1","1",0.00110315780358539
"2","1",0.00322260151620593
"3","1",0.00741308275744809
"4","1",0.00155617430589075
"5","1",0.00754258186562615
"6","1",0.0945423783096226
"7","1",0.0106558418562475
"8","1",0.0150855264416189
"9","1",0.0302503474452313
"10","1",0.0105806830209592
"11","1",0.0102291154114265
"12","1",0.437530069978208
"13","1",0.0129383501153099
"14","1",0.100325450806086
"15","1",0.0434993074367755
"16","1",0.133195432907932
"17","1",0.00818486367514302
"18","1",0.00715462952722652
"19","1",0.0017089494772887
