year,probs
1964,173.6
1965,169.5
1966,165.3
1967,161.2
1968,157.2
1969,152.8
1970,148.4
1971,143.7
1972,138.9
1973,134.0
1974,129.1
1975,124.5
1976,120.0
1977,115.9
1978,112.4
1979,109.3
1980,106.8
1981,104.8
1982,103.6
1983,103.1
1984,103.0
1985,103.3
1986,103.8
1987,104.4
1988,104.8
1989,105.3
1990,105.5
1991,105.7
1992,105.8
1993,105.9
1994,105.8
1995,105.4
1996,104.7
1997,103.4
1998,101.6
1999,99.5
2000,97.1
2001,94.6
2002,91.9
2003,89.1
2004,86.4
2005,83.7
2006,81.2
2007,79.0
2008,77.1
2009,75.4
2010,74.0
2011,73.0
2012,72.0
2013,71.4
2014,70.8
2015,70.2
2016,69.5
2017,68.6
2018,67.4
2019,66.1
2020,64.7
2021,63.2
2022,61.6
2023,60.1
