"postpartum","From","n","age_grp","Pill","IUD","Injectable","Condom","F.sterilization","Withdrawal","Implant","Other.trad","Other.mod","group"
0,"None",37.591344,"<18",0,0,0,0.408388298114587,0,0.40316765476648,0,0.188444047118932,0,"grp0<18"
0,"None",37.890467,"18-20",0.0835274212904265,0.0170557148319127,0.0376860227138399,0.139201424991674,0,0.51798670098207,0.0632519520015417,0,0.141290763188535,"grp018-20"
0,"None",95.580348,"20-25",0.131587122909408,0,0.0550359682724737,0.352852282981853,0,0.164671779600551,0.0448245281550973,0.171744875839958,0.0792834422406581,"grp020-25"
0,"None",222.847506,"25-35",0.16942762195418,0.0258577001979102,0.130000736916481,0.157954318770792,0,0.135071639527346,0.113331508408265,0.171302881890902,0.0970535923341228,"grp025-35"
0,"None",86.049689,">35",0.155344454527895,0.0428830602746281,0.0951488040822553,0.24493026348997,0,0.195834385874422,0.078579621595146,0.107390568256441,0.0798888418992427,"grp0>35"
0,"Pill",0.20054,"<18",0,0,1,0,0,0,0,0,0,"grp0<18"
0,"Pill",4.445166,"18-20",0,0,0.425358018,0,0,0,0.574641982,0,0,"grp018-20"
0,"Pill",5.450458,"20-25",0,0,0,0.18758607074855,0,0.580665514714543,0,0.231748414536907,0,"grp020-25"
0,"Pill",13.748221,"25-35",0,0,0,0,0,0.445997413047114,0.554002586952887,0,0,"grp025-35"
0,"Pill",13.411626,">35",0,0,0,0,0,0,0,1,0,"grp0>35"
0,"IUD",0,"<18",0.879360394,0,0,0,0,0,0.120639606,0,0,"grp0<18"
0,"IUD",0,"18-20",0.879360394,0,0,0,0,0,0.120639606,0,0,"grp018-20"
0,"IUD",17.40484,"25-35",0.400447232,0,0.068718529,0,0,0,0.301876662,0.228957577,0,"grp025-35"
0,"IUD",0.81696,"20-25",0,0,0,0,0,1,0,0,0,"grp020-25"
0,"IUD",2.990877,">35",0,0,0.150269970981756,0.392330410110479,0,0,0.199565879840595,0,0.25783373906717,"grp0>35"
0,"Injectable",6.190851,"<18",0.683918899,0,0,0,0,0,0.316081101,0,0,"grp0<18"
0,"Injectable",6.228366,"18-20",0.618753137,0,0,0.138138317,0,0,0.104516498,0.138592048,0,"grp018-20"
0,"Injectable",4.233279,"20-25",0.451883988747257,0,0,0,0,0,0.486655143684128,0.0614608675686152,0,"grp020-25"
0,"Injectable",9.180493,"25-35",0.595589038627882,0.17027832819,0,0,0,0,0.234132633182118,0,0,"grp025-35"
0,"Injectable",1.760493,">35",0,0,0,0,0,0,1,0,0,"grp0>35"
0,"Condom",3.487976,"<18",0,0,0,0,0,0.5,0,0.5,0,"grp0<18"
0,"Condom",8.156718,"18-20",0.0622112962591081,0,0.146081426377619,0,0,0.327570476262634,0,0.464136801100639,0,"grp018-20"
0,"Condom",5.316033,"20-25",0.445255889118822,0,0.16074016094332,0,0,0.394003949937858,0,0,0,"grp020-25"
0,"Condom",13.62807,"25-35",0.0823178190308679,0,0.377721717014955,0,0,0.457612853470814,0.0823476104833626,0,0,"grp025-35"
0,"Condom",8.71498,">35",0,0.134643108762154,0.544078127545904,0,0,0.187549483762441,0.0204631565419542,0.113266123387547,0,"grp0>35"
0,"Withdrawal",0.705526,"<18",0,0,0,1,0,0,0,0,0,"grp0<18"
0,"Withdrawal",0.771149,"18-20",0,0,0,1,0,0,0,0,0,"grp018-20"
0,"Withdrawal",15.577289,"20-25",0.0287609737483846,0,0.0558581149775163,0.668260247338288,0,0,0.121117930083983,0.126002733851828,0,"grp020-25"
0,"Withdrawal",14.944466,"25-35",0.691263307768909,0,0.0960912219948173,0,0,0,0.212645470236273,0,0,"grp025-35"
0,"Withdrawal",7.725758,">35",0,0,0,0.184828595459501,0,0,0.519783430959137,0.295387973581363,0,"grp0>35"
0,"Implant",0,<18,0,0,1,0,0,0,0,0,0,"grp0<18"
0,"Implant",2.046862,18-20,0,0,1,0,0,0,0,0,0,"grp018-20"
0,"Implant",2.442361,"20-25",0,0,0.23762989992061,0.166622378919414,0,0,0,0.595747721159976,0,"grp020-25"
0,"Implant",2.475983,"25-35",0.446881501205784,0,0,0,0,0.553118498794216,0,0,0,"grp025-35"
0,"Implant",3.230172,">35",0.46185249578041,0.363028346478144,0.175119157741445,0,0,0,0,0,0,"grp0>35"
0,"Other.trad",0,"<18",0.398843671,0,0.136067517,0.290755128,0,0,0.174333684,0,0,"grp0<18"
0,"Other.trad",0,"18-20",0.398843671,0,0.136067517,0.290755128,0,0,0.174333684,0,0,"grp018-20"
0,"Other.trad",1.689523,"20-25",0,0,0,0,0,0,1,0,0,"grp020-25"
0,"Other.trad",4.524584,"25-35",0,0,0,0.61323913977506,0,0.38676086022494,0,0,0,"grp025-35"
0,"Other.trad",5.217202,">35",0,0.700893314,0.144217533,0,0,0,0.154889153,0,0,"grp0>35"
0,"Other.mod",0,<18,0,0,0,1,0,0,0,0,0,"grp0<18"
0,"Other.mod",2.345857,18-20,0,0,0,1,0,0,0,0,0,"grp018-20"
0,"Other.mod",3.311132,"20-25",0,0,0,0,0,1,0,0,0,"grp020-25"
0,"Other.mod",6.370173,"25-35",0.337424587997846,0,0,0.519786825255766,0,0.142788586746388,0,0,0,"grp025-35"
0,"Other.mod",1.297852,">35",0,0,0,0,0,1,0,0,0,"grp0>35"
1,"Birth",5.017629,"<18",0,0,0,0.350861532409032,0,0.649138467590968,0,0,0,"grp1<18"
1,"Birth",1.889649,"18-20",0,0,0,1,0,0,0,0,0,"grp118-20"
1,"Birth",19.767416,"20-25",0.0992955275489725,0,0.274037638505711,0.505662550937361,0,0,0,0.0692812859303411,0.051722997077615,"grp120-25"
1,"Birth",74.495257,"25-35",0.0555139772187107,0.0224408649264744,0.119859966386853,0.135472839566148,0,0.312761549369512,0.0315798494392737,0.322370953093027,0,"grp125-35"
1,"Birth",12.158774,">35",0,0,0,0,0,0.806925599571141,0,0,0.193074400428859,"grp1>35"
6,"None",1.436032,"<18",0,0,0,0,0,1,0,0,0,"grp6<18"
6,"None",10.476946,"18-20",0,0,0,0.403391885383393,0,0.460314484774475,0,0.136293629842131,0,"grp618-20"
6,"None",70.077319,"20-25",0.0427191285671188,0,0.04516287216981,0.276060860718715,0,0.335420865629862,0.0203766499685868,0.25988297297732,0.0203766499685868,"grp620-25"
6,"None",254.310202,"25-35",0.171616626689636,0.0233326856466419,0.0206023075708146,0.235546751679274,0,0.319371595638935,0.0740912037811208,0.109962399384984,0.0454764296085927,"grp625-35"
6,"None",61.552306,">35",0.301170389944448,0.0943858545283421,0,0.10291209885784,0,0.304437237493588,0.00898963882847866,0.156216194402205,0.0318885859450985,"grp6>35"
