age,female,male
0,0.06405374,0.07476366
1,0.00855268,0.01102107
2,0.00903283,0.01013321
3,0.00945828,0.00929049
4,0.00969202,0.00844914
5,0.0095919,0.00758601
6,0.00905449,0.00670344
7,0.00809925,0.00582565
8,0.00693264,0.00501394
9,0.0057756,0.00431676
10,0.00482517,0.00377491
11,0.00416266,0.00340531
12,0.00378172,0.00320064
13,0.00366117,0.0031572
14,0.00374809,0.00325938
15,0.00400027,0.00349366
16,0.00434953,0.00383915
17,0.00471065,0.00426559
18,0.00501845,0.00474379
19,0.00522173,0.00523125
20,0.00533451,0.00568103
21,0.00539701,0.00604856
22,0.00545672,0.00630585
23,0.0055575,0.00644965
24,0.00571142,0.00650411
25,0.00591798,0.00650248
26,0.00615735,0.00648148
27,0.00640215,0.00647744
28,0.00663357,0.00650815
29,0.00683766,0.0065792
30,0.00701617,0.00668496
31,0.00717833,0.00680919
32,0.00733633,0.00693989
33,0.00750345,0.00706877
34,0.00768799,0.00719765
35,0.00789557,0.00734064
36,0.00812649,0.00751337
37,0.00837776,0.00773266
38,0.00864104,0.00800619
39,0.00890397,0.00832871
40,0.00915033,0.00868688
41,0.00936249,0.00905517
42,0.00953408,0.00941297
43,0.0096677,0.00975215
44,0.00978471,0.01007871
45,0.00991806,0.01042433
46,0.01010304,0.01082485
47,0.01037639,0.0113162
48,0.01075721,0.01192423
49,0.01125216,0.01264473
50,0.01185025,0.01345894
51,0.01252438,0.01432026
52,0.01325137,0.01517906
53,0.01401202,0.0160131
54,0.01480821,0.01681921
55,0.01566391,0.01764667
56,0.01661545,0.01856279
57,0.01771207,0.01963839
58,0.01899319,0.02094334
59,0.02048577,0.02250175
60,0.02220032,0.0243174
61,0.02412495,0.0263534
62,0.02624761,0.02855311
63,0.0285591,0.03088733
64,0.03106823,0.03334189
65,0.03381227,0.03596327
66,0.03684141,0.03883364
67,0.04022033,0.04204226
68,0.0440002,0.04568685
69,0.04819953,0.04981416
70,0.05280606,0.05443546
71,0.05776216,0.05952235
72,0.06301576,0.06501357
73,0.06855046,0.07088389
74,0.07440623,0.07714125
75,0.08072445,0.0838627
76,0.08767698,0.09118569
77,0.09544902,0.09923672
78,0.10416973,0.10813132
79,0.11380685,0.11789948
80,0.12422011,0.12847649
81,0.13511027,0.13976971
82,0.14619487,0.15166355
83,0.15738132,0.16416177
84,0.1687495,0.17742434
85,0.18072317,0.1917258
86,0.19379288,0.20747618
87,0.20837304,0.22495751
88,0.22471438,0.2442232
89,0.24255746,0.2650435
90,0.26139965,0.28676538
91,0.28044292,0.30865126
92,0.29890769,0.32999472
93,0.31649698,0.35032126
94,0.33317612,0.36964423
95,0.34941091,0.38816906
96,0.36575064,0.40632385
97,0.38253675,0.42446593
98,0.39995266,0.44267775
99,0.41771354,0.46091949
100,1.0,1.0
