year,population
1960,45053782
1961,45989310
1962,46965292
1963,47973575
1964,49012016
1965,50086764
1966,51188234
1967,52293065
1968,53432783
1969,54631914
1970,55893838
1971,57214684
1972,58601748
1973,60082139
1974,61679144
1975,63410815
1976,65258009
1977,67234590
1978,69326532
1979,71498242
1980,73764641
1981,76068103
1982,78378701
1983,80438260
1984,82526443
1985,84897973
1986,87235953
1987,89591716
1988,92020090
1989,94531014
1990,97120925
1991,99720162
1992,102372770
1993,105122069
1994,107935714
1995,110819428
1996,113754779
1997,116754792
1998,119846254
1999,123047320
2000,126382494
2001,129862595
2002,133471989
2003,137202644
2004,141057045
2005,145017253
2006,149077334
2007,153267261
2008,157595014
2009,162049464
2010,166642886
2011,171379598
2012,176200625
2013,181049443
2014,185896915
2015,190671878
2016,195443700
2017,200254579
2018,204938755
2019,209485641
2020,213996181
2021,218529286
2022,223150896
2023,227882945
2024,232679478
