"wt","age","afb"
5.476381,27,20
5.476381,16,Inf
5.476381,25,18
5.476381,23,16
5.476381,23,20
5.476381,26,22
5.476381,22,14
5.476381,22,17
5.476381,21,19
5.476381,26,20
5.476381,31,23
5.476381,30,Inf
5.476381,21,14
5.476381,26,16
3.785324,33,18
3.785324,35,20
3.785324,31,28
3.785324,30,21
3.785324,24,20
3.785324,45,23
3.785324,25,21
3.785324,26,16
3.785324,20,14
3.785324,21,Inf
3.785324,28,21
3.785324,15,Inf
3.785324,24,20
3.785324,25,Inf
3.785324,29,23
3.785324,35,18
3.785324,18,17
4.492163,26,Inf
4.492163,35,20
4.492163,15,Inf
4.492163,38,20
4.492163,27,19
4.492163,39,24
4.492163,36,16
4.492163,21,13
4.492163,26,20
4.492163,35,18
4.492163,26,17
4.492163,23,19
4.492163,25,24
4.492163,31,17
4.492163,35,14
4.492163,20,Inf
3.333224,46,23
3.333224,25,17
3.333224,36,17
3.333224,40,20
3.333224,20,Inf
3.333224,43,21
3.333224,44,29
3.333224,40,24
3.333224,34,13
3.333224,22,17
3.333224,24,21
2.671808,29,16
2.671808,20,Inf
2.671808,36,18
2.671808,42,27
2.671808,33,22
2.671808,18,Inf
2.671808,30,23
2.671808,42,17
2.671808,29,17
2.671808,38,27
2.671808,25,20
3.271604,27,23
3.271604,28,20
3.271604,29,16
3.271604,22,17
3.271604,24,Inf
3.271604,20,Inf
3.271604,30,29
3.271604,18,Inf
3.271604,30,23
3.271604,29,24
3.271604,27,14
3.271604,29,22
3.271604,24,17
3.271604,24,21
3.271604,43,20
3.271604,31,25
3.271604,48,16
4.691569,33,Inf
4.691569,35,25
4.691569,43,Inf
4.691569,48,33
4.691569,36,35
4.691569,38,16
4.691569,22,21
4.691569,42,17
4.691569,15,Inf
4.483672,22,18
4.483672,31,19
4.483672,24,16
4.483672,27,18
4.483672,42,24
4.483672,21,Inf
4.483672,26,17
4.483672,34,18
4.483672,16,Inf
4.483672,40,15
4.483672,29,22
4.483672,26,Inf
4.483672,29,22
