year,population
1960,293000
1961,316000
1962,340000
1963,361000
1964,382000
1965,404000
1966,427000
1967,451000
1968,478000
1969,505000
1970,531000
1971,557000
1972,585000
1973,614000
1974,645000
1975,677000
1976,710000
1977,746000
1978,783000
1979,822000
1980,862000
1981,903000
1982,947000
1983,992000
1984,1040000
1985,1090000
1986,1142000
1987,1197000
1988,1255000
1989,1315000
1990,1380000
1991,1448000
1992,1520000
1993,1594000
1994,1673000
1995,1755000
1996,1842000
1997,1933000
1998,2028000
1999,2128000
2000,2214000
2001,2299000
2002,2388000
2003,2481000
2004,2577000
2005,2677000
2006,2780000
2007,2888000
2008,3000000
2009,3116000
2010,3237000
2011,3362000
2012,3492000
2013,3627000
2014,3768000
2015,3914000
2016,4065000
2017,4222000
2018,4386000
2019,4556000
2020,4735000
2021,4922000
