"wt","age","afb"
0.816825,27,18
0.816825,47,25
0.816825,17,Inf
0.816825,32,23
0.816825,31,18
0.816825,27,16
0.816825,34,24
0.816825,29,20
0.816825,28,20
0.816825,35,30
0.816825,30,20
0.816825,16,Inf
0.816825,29,18
0.816825,27,23
0.816825,46,28
0.816825,34,19
0.816825,31,16
0.816825,31,18
0.816825,48,21
0.816825,26,Inf
0.816825,20,19
0.816825,46,19
0.816825,23,20
0.816825,17,Inf
0.816825,30,17
0.816825,20,19
0.816825,29,24
0.816825,33,Inf
0.816825,36,23
0.816825,43,18
0.816825,22,18
0.816825,41,28
0.966064,36,17
0.966064,38,15
0.966064,30,Inf
0.966064,18,Inf
0.966064,29,24
0.966064,21,16
0.966064,17,Inf
0.966064,38,20
0.966064,17,Inf
0.966064,29,21
0.966064,38,32
0.966064,25,19
0.966064,44,19
0.966064,24,24
0.966064,37,21
0.966064,29,13
0.966064,26,20
0.966064,24,24
0.966064,18,18
0.966064,34,17
0.966064,31,19
0.966064,46,25
0.966064,28,23
0.966064,22,18
0.966064,42,26
0.966064,18,Inf
0.966064,35,19
0.966064,36,17
0.966064,24,18
0.966064,26,16
0.966064,41,22
0.966064,43,24
0.966064,15,Inf
0.966064,48,35
0.966064,24,18
0.966064,21,19
0.966064,27,Inf
0.902306,20,18
0.902306,34,23
0.902306,32,16
0.902306,33,23
0.902306,23,18
0.902306,37,25
0.902306,19,Inf
0.902306,16,Inf
0.902306,35,13
0.902306,28,18
0.902306,34,17
0.902306,23,17
0.902306,47,21
0.902306,34,24
0.902306,45,25
0.902306,27,24
0.902306,47,23
0.902306,20,Inf
0.902306,49,19
1.713459,23,21
1.713459,18,16
1.713459,37,20
1.713459,25,23
1.713459,29,15
1.713459,22,19
1.713459,29,27
1.713459,46,18
1.713459,18,Inf
1.713459,28,15
1.713459,41,15
1.713459,48,21
1.713459,26,17
1.713459,38,15
1.713459,28,21
1.713459,27,24
1.713459,19,18
1.713459,16,Inf
1.713459,29,19
1.713459,23,17
1.713459,39,17
1.713459,34,21
0.90344,41,23
0.90344,31,26
0.90344,34,18
0.90344,22,20
0.90344,31,20
0.90344,29,19
0.90344,30,24
0.90344,37,19
0.90344,46,28
0.90344,27,22
0.90344,47,26
0.90344,38,17
0.90344,30,Inf
0.90344,34,17
0.90344,41,26
0.90344,40,20
0.90344,28,22
0.90344,38,23
0.90344,43,25
0.90344,27,25
0.90344,38,30
0.90344,24,Inf
0.90344,33,24
0.90344,35,22
0.90344,44,18
0.90344,39,22
0.859687,46,21
0.859687,33,19
0.859687,22,20
0.859687,33,19
0.859687,26,19
0.859687,46,20
0.859687,22,Inf
0.859687,24,Inf
0.859687,19,18
0.859687,46,24
0.859687,35,17
