"age","parity","Freq","percentage"
"15-19","0",69.178074,2.42689976668901
"20-24","0",103.37513,3.62659820333313
"25-29","0",64.933065,2.27797669387128
"30-34","0",27.726984,0.972715878163795
"35-39","0",21.518664,0.754916082819237
"40-44","0",17.244977,0.604986930654609
"45-49","0",7.774133,0.27273152420967
"15-19","1",52.551254,1.84359897142865
"20-24","1",128.913938,4.52254866267543
"25-29","1",113.464532,3.98055381302287
"30-34","1",60.174887,2.11105066644148
"35-39","1",47.721397,1.67415830694237
"40-44","1",11.848243,0.41565913171238
"45-49","1",20.20586,0.70886039584957
"15-19","2",19.506506,0.684325713669303
"20-24","2",129.029433,4.52660044920759
"25-29","2",157.900313,5.53944639713188
"30-34","2",116.261762,4.07868601650653
"35-39","2",72.382211,2.53930704963447
"40-44","2",31.782079,1.11497640292778
"45-49","2",18.431703,0.646619559116103
"15-19","3",2.606679,0.0914473082458634
"20-24","3",49.333686,1.73072050319454
"25-29","3",117.858131,4.13468970856725
"30-34","3",107.62302,3.77562234716692
"35-39","3",95.60801,3.35411270863946
"40-44","3",44.956667,1.57716626590986
"45-49","3",66.202195,2.32250021299813
"15-19","4",0.580128,0.0203520049987192
"20-24","4",16.437439,0.57665694587081
"25-29","4",85.878461,3.01278143367379
"30-34","4",91.9204669999999,3.22474661431374
"35-39","4",82.145386,2.88181798929497
"40-44","4",41.687547,1.46247925445478
"45-49","4",57.398938,2.01366504133083
"15-19","5",0,0
"20-24","5",2.914464,0.102244997477431
"25-29","5",28.752809,1.00870379036216
"30-34","5",75.252261,2.63999391864712
"35-39","5",76.604465,2.6874318333268
"40-44","5",46.213574,1.62126097870932
"45-49","5",46.761613,1.64048723992666
"15-19","6",0,0
"20-24","6",0,0
"25-29","6",17.895146,0.627796108522273
"30-34","6",67.538778,2.3693901129809
"35-39","6",123.422514,4.32989895657939
"40-44","6",98.192427,3.44477902314725
"45-49","6",114.761048,4.02603808565394
