year,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49
1950,4.187,184.255,261.462,303.501,273.105,206.005,107.862,19.724
1951,4.17,183.419,261.566,303.761,273.424,206.15,108.244,19.42
1952,4.163,182.536,261.654,304.006,273.721,206.328,108.532,19.23
1953,4.169,181.616,261.727,304.234,273.992,206.541,108.72,19.148
1954,4.18,177.763,265.424,304.659,273.896,206.289,108.787,19.099
1955,4.195,173.944,269.121,305.061,273.773,206.035,108.849,19.07
1956,4.217,170.154,272.813,305.441,273.636,205.761,108.96,19.016
1957,4.256,166.362,276.498,305.804,273.498,205.462,109.148,18.917
1958,4.348,162.594,280.166,306.14,273.353,205.13,109.413,18.769
1959,4.488,158.495,282.633,308.083,273.208,204.393,109.928,18.712
1960,4.614,155.699,284.102,309.817,273.474,204.043,109.721,18.579
1961,4.641,153.082,285.548,311.545,273.724,203.696,109.521,18.447
1962,4.527,151.35,286.639,312.846,274.314,203.9,108.622,18.281
1963,4.337,150.183,287.706,314.143,274.887,204.126,107.723,18.125
1964,4.234,148.588,289.444,316.03,275.271,203.847,106.981,18.065
1965,4.218,146.19,291.188,317.912,275.637,203.566,106.256,18.003
1966,4.221,142.04,292.353,319.386,276.083,204.059,105.934,17.908
1967,4.247,137.02,293.6,320.841,276.514,204.522,105.657,17.807
1968,4.297,131.951,293.222,320.777,277.418,205.848,107.842,17.541
1969,4.368,124.818,291.22,322.197,278.987,209.713,110.296,17.427
1970,4.45,123.297,291.441,324.085,279.562,209.887,109.462,17.329
1971,4.527,121.801,291.018,326.01,280.185,210.102,108.663,17.253
1972,4.591,120.299,290.241,327.957,280.858,210.362,107.884,17.206
1973,4.773,119.213,289.203,330.144,281.714,211.098,105.986,17.204
1974,4.928,115.304,288.521,331.191,282.891,212.859,106.76,17.149
1975,5.071,111.464,288.013,332.117,283.922,214.551,107.514,17.103
1976,4.845,108.08,286.427,332.251,284.774,215.847,109.905,17.121
1977,4.711,107.253,285.073,331.682,284.206,216.347,111.27,17.211
1978,4.662,106.399,283.638,331.149,283.151,216.539,112.061,17.338
1979,4.942,107.815,280.564,328.737,281.334,216.776,113.233,17.265
1980,5.163,108.459,278.259,326.851,279.467,216.211,113.756,17.427
1981,5.427,109.241,275.1,324.07,278.005,216.19,114.965,17.558
1982,5.217,107.979,273.151,322.537,276.964,215.695,115.696,17.958
1983,4.989,106.734,270.399,320.271,276.003,215.728,117.139,18.368
1984,4.815,105.319,268.384,318.708,274.614,214.933,117.889,18.966
1985,4.425,107.214,269.331,318.125,273.283,210.715,114.876,19.429
1986,4.487,109.122,269.28,316.649,271.952,207.606,112.496,19.574
1987,4.612,110.796,269.759,315.656,270.261,204.011,109.281,19.738
1988,4.741,109.809,269.831,312.639,270.197,201.712,106.58,19.913
1989,4.823,108.757,269.553,309.267,269.795,198.842,103.651,19.905
1990,4.726,104.425,270.715,308.239,267.306,196.274,100.34,19.877
1991,4.678,101.484,268.716,307.662,264.408,193.398,97.676,19.594
1992,4.537,98.279,266.969,307.271,260.82,189.469,94.658,19.232
1993,4.178,97.543,265.734,304.736,256.195,184.507,91.037,18.409
1994,3.999,94.434,262.818,300.833,252.242,182.047,87.238,17.477
1995,3.713,88.234,260.575,297.903,248.511,177.471,84.606,16.812
1996,3.664,86.583,256.144,293.791,242.525,171.586,82.123,16.578
1997,3.559,82.819,249.182,288.513,238.957,167.522,80.193,16.199
1998,3.438,81.051,247.569,285.112,234.57,158.563,73.644,15.763
1999,3.124,79.332,245.265,284.808,235.472,155.866,71.845,15.104
2000,3.025,76.597,238.382,282.408,233.198,152.632,67.925,14.679
2001,2.705,72.66,231.633,280.485,225.387,144.546,62.895,14.611
2002,2.26,69.189,224.312,276.954,217.655,137.601,58.47,14.291
2003,2.008,67.159,219.871,273.712,212.371,132.842,55.347,13.741
2004,1.786,64.181,213.597,267.243,201.93,123.4,49.764,13.494
2005,1.629,60.998,209.131,262.13,199.433,122.527,49.26,12.684
2006,1.453,58.675,209.583,263.881,200.941,121.022,49.137,12.353
2007,1.294,58.053,210.01,263.523,200.196,117.622,47.57,12.002
2008,1.141,57.112,210.086,263.557,199.505,114.28,45.546,11.699
2009,1.044,56.456,210.691,261.502,197.679,110.979,43.629,11.311
2010,0.955,55.615,210.453,258.304,195.068,107.259,41.629,10.938
2011,0.783,52.28,205.743,255.148,193.399,104.105,39.446,11.022
2012,0.743,51.486,200.495,251.083,188.702,100.448,37.892,10.999
2013,0.711,50.896,196.384,248.262,184.854,97.332,36.542,11.028
2014,0.641,49.784,192.846,244.519,181.903,95.479,35.741,11.027
2015,0.575,48.676,189.423,240.9,178.965,93.731,34.959,10.915
2016,0.521,47.516,186.428,236.108,174.674,91.028,33.684,10.823
2017,0.489,47.145,186.333,235.091,174.479,92.063,34.241,10.535
2018,0.463,46.499,184.965,231.921,172.042,91.274,33.99,10.351
2019,0.441,45.589,183.235,228.984,169.898,90.394,33.762,10.179
2020,0.427,44.572,181.471,226.02,167.708,89.462,33.561,10.02
2021,0.426,43.372,179.8,223.025,165.51,88.598,33.404,9.935
2022,0.429,42.298,177.949,220.013,162.636,86.652,32.548,9.848
2023,0.433,41.095,176.171,217.094,159.806,84.832,31.681,9.771
