"space_mo","urban_rural","Freq"
"7","urban",5.368693
"8","urban",11.260745
"9","urban",22.938297
"10","urban",61.0805
"11","urban",74.574028
"12","urban",70.690307
"13","urban",90.131267
"14","urban",84.81086
"15","urban",63.777252
"16","urban",89.338967
"17","urban",93.959563
"18","urban",86.117102
"19","urban",107.07227
"20","urban",85.850874
"21","urban",115.742241
"22","urban",119.927413
"23","urban",116.765777
"24","urban",122.984101
"25","urban",126.239111
"26","urban",100.079397
"27","urban",101.398012
"28","urban",89.667194
"29","urban",91.7204729999999
"30","urban",64.418354
"31","urban",50.708342
"32","urban",48.268382
"33","urban",58.647747
"34","urban",52.61764
"35","urban",44.603152
"36","urban",63.393084
"37","urban",45.69217
"38","urban",41.591905
"39","urban",31.112908
"40","urban",34.026182
"41","urban",23.597458
"42","urban",31.670829
"43","urban",28.788866
"44","urban",25.401749
"45","urban",22.687555
"46","urban",26.994939
"47","urban",35.754235
"48","urban",30.404314
"49","urban",27.516707
"50","urban",22.127831
"51","urban",25.531831
"52","urban",17.816482
"53","urban",16.486329
"54","urban",15.74521
"55","urban",14.219345
"56","urban",18.334742
"57","urban",10.509849
"58","urban",12.327327
"59","urban",16.849629
"60","urban",17.752636
"61","urban",9.181687
"62","urban",13.368483
"63","urban",7.683071
"64","urban",9.985101
"65","urban",13.210272
"66","urban",10.937172
"67","urban",8.786949
"68","urban",7.445438
"69","urban",11.19274
"70","urban",21.192784
"71","urban",7.936279
"72","urban",2.547161
"73","urban",7.162574
"74","urban",5.391654
"75","urban",10.331301
"76","urban",5.803134
"77","urban",3.273449
"78","urban",3.03782
"79","urban",10.32685
"80","urban",4.474777
"81","urban",1.595458
"82","urban",0
"83","urban",2.029592
"84","urban",6.09678
"85","urban",5.473199
"86","urban",4.501631
"87","urban",2.538193
"88","urban",3.733044
"89","urban",3.609383
"90","urban",2.694615
"91","urban",4.175283
"92","urban",1.101885
"93","urban",5.141784
"94","urban",3.260387
"95","urban",4.652995
"96","urban",3.257841
"97","urban",0.914362
"98","urban",3.349085
"99","urban",0.872591
"100","urban",2.343241
"101","urban",0.416414
"102","urban",5.806314
"103","urban",1.731625
"104","urban",0
"105","urban",0.430638
"106","urban",2.61633
"107","urban",2.025992
"108","urban",0
"109","urban",1.228195
"110","urban",2.931691
"111","urban",1.148886
"114","urban",0.872591
"115","urban",1.10256
"116","urban",0
"117","urban",0.843483
"118","urban",0
"119","urban",1.37422
"121","urban",0
"123","urban",2.0111
"124","urban",0.752835
"125","urban",1.584881
"129","urban",2.26125
"131","urban",0.752835
"132","urban",0
"134","urban",0.742468
"135","urban",0.898555
"139","urban",0.993785
"141","urban",1.997396
"145","urban",1.256764
"148","urban",0.430638
"161","urban",0
"171","urban",0.78567
"174","urban",0.380435
"192","urban",0
"201","urban",0
"226","urban",0
"7","rural",0.376511
"8","rural",5.858521
"9","rural",26.30098
"10","rural",61.828674
"11","rural",85.463193
"12","rural",87.96364
"13","rural",99.690057
"14","rural",90.176891
"15","rural",81.662357
"16","rural",95.032936
"17","rural",93.978416
"18","rural",110.023005
"19","rural",121.242277
"20","rural",110.553795
"21","rural",153.781987
"22","rural",168.912451
"23","rural",166.327829
"24","rural",152.580301
"25","rural",202.440418
"26","rural",189.390317
"27","rural",125.174252
"28","rural",120.635353
"29","rural",91.493249
"30","rural",65.421535
"31","rural",53.948557
"32","rural",68.337446
"33","rural",53.635505
"34","rural",57.58867
"35","rural",28.083748
"36","rural",61.718207
"37","rural",66.133563
"38","rural",42.686287
"39","rural",31.28865
"40","rural",35.776278
"41","rural",35.411371
"42","rural",28.043059
"43","rural",25.160701
"44","rural",21.408042
"45","rural",25.23544
"46","rural",37.324926
"47","rural",23.798986
"48","rural",27.267966
"49","rural",30.289315
"50","rural",18.066797
"51","rural",25.378578
"52","rural",18.388795
"53","rural",13.166174
"54","rural",18.53522
"55","rural",18.122271
"56","rural",12.478997
"57","rural",15.132563
"58","rural",15.912903
"59","rural",12.760852
"60","rural",20.34694
"61","rural",8.349539
"62","rural",7.297614
"63","rural",0.889591
"64","rural",6.725143
"65","rural",3.169633
"66","rural",6.647092
"67","rural",3.044099
"68","rural",15.357316
"69","rural",2.676057
"70","rural",4.481003
"71","rural",5.044147
"72","rural",10.576367
"73","rural",6.811096
"74","rural",6.023661
"75","rural",2.380287
"76","rural",2.957247
"77","rural",4.368423
"78","rural",3.137029
"79","rural",3.644682
"80","rural",3.311574
"81","rural",7.658966
"82","rural",2.970646
"83","rural",3.645588
"84","rural",7.206663
"85","rural",5.286103
"86","rural",4.053164
"87","rural",5.246178
"88","rural",0.48689
"89","rural",0.592814
"90","rural",8.569667
"91","rural",2.218112
"92","rural",1.713459
"93","rural",0.830578
"94","rural",1.400578
"95","rural",1.799789
"96","rural",3.687403
"97","rural",3.623861
"98","rural",1.169473
"99","rural",2.384046
"100","rural",1.868946
"101","rural",0
"102","rural",0.790795
"103","rural",0
"104","rural",0.749512
"105","rural",0.376511
"106","rural",1.169473
"107","rural",0
"108","rural",1.514346
"109","rural",0
"110","rural",1.181606
"111","rural",0
"114","rural",1.339881
"115","rural",0
"116","rural",0.504653
"117","rural",0.478679
"118","rural",1.713459
"119","rural",0
"121","rural",2.034635
"123","rural",0
"124","rural",0
"125","rural",0
"129","rural",0
"131","rural",0
"132","rural",0.376511
"134","rural",0
"135","rural",0
"139","rural",0
"141","rural",0
"145","rural",0
"148","rural",0
"161","rural",1.083831
"171","rural",0
"174","rural",0
"192","rural",0.845421
"201","rural",0.8697
"226","rural",1.406305
