rhs,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),-2.4902650237761415,1.0713965340482141,-2.3243168562127123,0.022552689802540334
"age_grp(18,20]",0.4488123842735142,1.2231694567557283,0.36692576142632033,0.7146082133207821
"age_grp(20,25]",0.18040208843143127,1.1537614231571807,0.15635995866266236,0.8761289908254903
"age_grp(25,35]",0.9372622883391346,1.0653758852526647,0.879747985019253,0.3815359221589192
"age_grp(35,50]",-0.739453081239816,1.4693817325846557,-0.5032409651228693,0.6161277827265275
prior_userTRUE,17.129528042139082,1.4648714130636908,11.693536981729816,3.116458632089623e-19
"age_grp(18,20]:prior_userTRUE",-14.739279686414548,2.1400832656839484,-6.887245894941395,1.0120746277511525e-9
"age_grp(20,25]:prior_userTRUE",-15.546978735370812,1.6694486289135442,-9.312642788828182,1.5466305242276585e-14
"age_grp(25,35]:prior_userTRUE",-14.812742231250121,1.5004177155270861,-9.872412247576342,1.1805796518894392e-15
"age_grp(35,50]:prior_userTRUE",-14.221798638703545,1.9182773743401405,-7.4138384932969545,9.437511509358749e-11
