rhs,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),-4.5731692746991826,0.6350219420017842,-7.201592531248839,1.7421429702753995e-10
"ns(age, knots = c(25, 40))1",-1.9379867287579569,0.5045436294765452,-3.841068671838316,2.2768910373961444e-4
"ns(age, knots = c(25, 40))2",0.6685418169451034,1.5628785805455303,0.4277631194559885,0.669845411870144
"ns(age, knots = c(25, 40))3",-3.764770338129325,0.7234422446308494,-5.203968065274337,1.2189889861245646e-6
prior_userTRUE,3.639445463224222,1.5982781667959634,2.277103910216171,0.025149895858318602
edu.levelPrimary,0.7069114179781372,0.2517947005625098,2.807491247428543,0.006121409390950385
edu.levelSecondary,0.774482463639541,0.21864788539966476,3.542144769540627,6.31248684517401e-4
parity,0.4744443141087644,0.049439351322782356,9.596491487341456,1.9719730659034207e-15
urban,-0.06279534285575408,0.30806902040002354,-0.2038353053942755,0.8389423998699082
wealthquintile,0.16859152271947825,0.10179052378364191,1.6562595068065804,0.10115190511584002
"ns(age, knots = c(25, 40))1:prior_userTRUE",3.8604685291877567,1.0635960048692439,3.6296380500812,4.70889919630755e-4
"ns(age, knots = c(25, 40))2:prior_userTRUE",-0.42676128190993856,3.735034164297249,-0.11425900356931118,0.9092869923790513
"ns(age, knots = c(25, 40))3:prior_userTRUE",4.259564750674243,1.0398414852274593,4.0963596963459175,9.15903824024015e-5
