year,cpr,mcpr
1990,7.6,6.0
1991,8.1,6.5
1992,9.0,7.1
1993,9.9,7.9
1994,10.8,8.5
1995,11.7,9.2
1996,12.7,10.0
1997,13.6,10.7
1998,14.6,11.4
1999,15.8,12.3
2000,17.0,13.3
2001,18.1,14.1
2002,18.9,14.7
2003,19.5,15.1
2004,19.5,14.9
2005,19.4,14.6
2006,19.3,14.4
2007,19.4,14.4
2008,19.7,14.7
2009,20.1,15.0
2010,20.6,15.5
2011,21.1,15.9
2012,21.7,16.4
2013,22.1,16.7
2014,22.3,16.8
2015,22.4,16.8
2016,22.5,16.9
2017,22.7,16.9
2018,23.1,17.2
2019,23.6,17.7
2020,24.2,18.3
2021,24.8,18.8
2022,25.4,19.4
2023,26.0,19.9
2024,26.6,20.4
2025,27.1,20.9
2026,27.7,21.4
2027,28.2,21.9
2028,28.7,22.4
2029,29.2,23.0
2030,29.8,23.4
