"age","parity","percent"
"10","1",0
"11","1",0
"12","1",0
"13","1",0.030980062598316
"14","1",0
"15","1",0.0307078543670319
"16","1",0.0252785718520026
"17","1",0.046748261067087
"18","1",0.0294615935551319
"19","1",0.0228736804067305
"20","1",0.0133151528534725
"21","1",0.00970698649008929
"22","1",0.00431565605880911
"23","1",0
"24","1",0.00466169801429838
"25","1",0
"26","1",0
"27","1",0
"28","1",0
"29","1",0
"30","1",0
"31","1",0
"32","1",0
"33","1",0
"34","1",0
"35","1",0
"36","1",0
"37","1",0
"38","1",0
"39","1",0
"40","1",0
"41","1",0
"42","1",0
"43","1",0
"44","1",0
"45","1",0
"46","1",0
"47","1",0
"10","2+",0
"11","2+",0
"12","2+",0
"13","2+",0
"14","2+",0
"15","2+",0
"16","2+",0.0539694809798283
"17","2+",0.24848101880331
"18","2+",0.074635414384567
"19","2+",0.0456983037348843
"20","2+",0.0585578705523886
"21","2+",0.0260860687429423
"22","2+",0.00966003284074924
"23","2+",0.00482424881730216
"24","2+",0.00728866901214761
"25","2+",0
"26","2+",0
"27","2+",0
"28","2+",0
"29","2+",0
"30","2+",0
"31","2+",0
"32","2+",0
"33","2+",0
"34","2+",0
"35","2+",0
"36","2+",0
"37","2+",0
"38","2+",0
"39","2+",0
"40","2+",0
"41","2+",0
"42","2+",0
"43","2+",0
"44","2+",0
"45","2+",0
"46","2+",0
"47","2+",0
