"age","edu","parity","cum.percent"
15,16,"0",0
16,16,"0",0
17,16,"0",0
18,16,"0",0
19,16,"0",0
20,16,"0",0
21,16,"0",0
22,16,"0",0
23,16,"0",0.0770243475172759
24,16,"0",0
25,16,"0",0.0272775260359834
26,16,"0",0
27,16,"0",0.0607937681601494
28,16,"0",0
29,16,"0",0.161088600579401
30,16,"0",0.0865000572833124
31,16,"0",0
32,16,"0",0
33,16,"0",0
34,16,"0",0
35,16,"0",0.184329982373295
36,16,"0",0
37,16,"0",0
38,16,"0",0.0946177923189669
39,16,"0",0
40,16,"0",0.101462394458138
41,16,"0",0
42,16,"0",0
43,16,"0",0
44,16,"0",0
45,16,"0",0
46,16,"0",0
47,16,"0",0
48,16,"0",0
49,16,"0",0
15,16,"1",NA
16,16,"1",0
17,16,"1",0
18,16,"1",0
19,16,"1",0
20,16,"1",0
21,16,"1",0
22,16,"1",0.0356377543147453
23,16,"1",0
24,16,"1",0.0290269480396674
25,16,"1",0.0289144917657169
26,16,"1",0.104410526936793
27,16,"1",0.101094042971387
28,16,"1",0.0834203343873318
29,16,"1",0.0897652119198978
30,16,"1",0.0307889804294986
31,16,"1",0.031798745995999
32,16,"1",0.0954572752230611
33,16,"1",0
34,16,"1",0
35,16,"1",0
36,16,"1",0.0863198141037262
37,16,"1",0
38,16,"1",0.10325819852381
39,16,"1",0
40,16,"1",0
41,16,"1",0
42,16,"1",0
43,16,"1",0
44,16,"1",0
45,16,"1",0
46,16,"1",0
47,16,"1",0
48,16,"1",0
49,16,"1",NA
15,16,"2",NA
16,16,"2",NA
17,16,"2",NA
18,16,"2",0
19,16,"2",0
20,16,"2",0
21,16,"2",0
22,16,"2",0
23,16,"2",0
24,16,"2",0
25,16,"2",0
26,16,"2",0.0332465818358375
27,16,"2",0
28,16,"2",0
29,16,"2",0.0212272477507156
30,16,"2",0.0287540068291942
31,16,"2",0.0979331118222158
32,16,"2",0.0866405886821547
33,16,"2",0.0126687716800481
34,16,"2",0.0598396852690933
35,16,"2",0.0407528323264338
36,16,"2",0.0649851517281505
37,16,"2",0
38,16,"2",0
39,16,"2",0.151444128110843
40,16,"2",0.0947711616888643
41,16,"2",0
42,16,"2",0
43,16,"2",0
44,16,"2",0.429678160233719
45,16,"2",0.248416052317178
46,16,"2",0
47,16,"2",0
48,16,"2",0
49,16,"2",0
15,16,"3",NA
16,16,"3",NA
17,16,"3",NA
18,16,"3",NA
19,16,"3",0
20,16,"3",0
21,16,"3",0
22,16,"3",0
23,16,"3",0
24,16,"3",0
25,16,"3",0.0383786433498926
26,16,"3",0
27,16,"3",0
28,16,"3",0
29,16,"3",0
30,16,"3",0.0339890769910886
31,16,"3",0
32,16,"3",0.054629430745535
33,16,"3",0.0117588915010028
34,16,"3",0
35,16,"3",0.0561807261608991
36,16,"3",0.12421445061847
37,16,"3",0.112624665655739
38,16,"3",0
39,16,"3",0
40,16,"3",0.0221605090209683
41,16,"3",0
42,16,"3",0.0165709672613641
43,16,"3",0
44,16,"3",0
45,16,"3",0.0249212069534276
46,16,"3",0.0710872069131172
47,16,"3",0
48,16,"3",0
49,16,"3",0
15,16,"4",NA
16,16,"4",NA
17,16,"4",NA
18,16,"4",NA
19,16,"4",0
20,16,"4",0
21,16,"4",0
22,16,"4",0
23,16,"4",0
24,16,"4",0
25,16,"4",0
26,16,"4",0
27,16,"4",0
28,16,"4",0
29,16,"4",0
30,16,"4",0
31,16,"4",0
32,16,"4",0
33,16,"4",0
34,16,"4",0
35,16,"4",0
36,16,"4",0
37,16,"4",0
38,16,"4",0.0315350466970528
39,16,"4",0
40,16,"4",0.0735588728897423
41,16,"4",0
42,16,"4",0
43,16,"4",0
44,16,"4",0
45,16,"4",0
46,16,"4",0
47,16,"4",0
48,16,"4",0
49,16,"4",0
15,16,"5",NA
16,16,"5",NA
17,16,"5",NA
18,16,"5",NA
19,16,"5",NA
20,16,"5",NA
21,16,"5",NA
22,16,"5",NA
23,16,"5",NA
24,16,"5",0
25,16,"5",0
26,16,"5",0
27,16,"5",0
28,16,"5",0
29,16,"5",0.141996068886948
30,16,"5",0
31,16,"5",0
32,16,"5",0
33,16,"5",0
34,16,"5",0
35,16,"5",0
36,16,"5",0
37,16,"5",0
38,16,"5",0
39,16,"5",0
40,16,"5",0
41,16,"5",0
42,16,"5",0
43,16,"5",0
44,16,"5",0
45,16,"5",0
46,16,"5",0
47,16,"5",0
48,16,"5",0
49,16,"5",0
15,16,"6",NA
16,16,"6",NA
17,16,"6",NA
18,16,"6",NA
19,16,"6",NA
20,16,"6",NA
21,16,"6",NA
22,16,"6",NA
23,16,"6",NA
24,16,"6",NA
25,16,"6",0
26,16,"6",0
27,16,"6",0
28,16,"6",0
29,16,"6",0
30,16,"6",0
31,16,"6",0
32,16,"6",0
33,16,"6",0
34,16,"6",0
35,16,"6",0
36,16,"6",0
37,16,"6",0
38,16,"6",0
39,16,"6",0
40,16,"6",0
41,16,"6",0
42,16,"6",0
43,16,"6",0
44,16,"6",0
45,16,"6",0
46,16,"6",0
47,16,"6",0
48,16,"6",0
49,16,"6",0
15,15,"0",0
16,15,"0",0
17,15,"0",0
18,15,"0",0
19,15,"0",0
20,15,"0",0
21,15,"0",0
22,15,"0",0
23,15,"0",0.0770243475172759
24,15,"0",0
25,15,"0",0.0272775260359834
26,15,"0",0
27,15,"0",0.0607937681601494
28,15,"0",0
29,15,"0",0.161088600579401
30,15,"0",0.0865000572833124
31,15,"0",0
32,15,"0",0
33,15,"0",0
34,15,"0",0
35,15,"0",0.184329982373295
36,15,"0",0
37,15,"0",0
38,15,"0",0.0946177923189669
39,15,"0",0
40,15,"0",0.101462394458138
41,15,"0",0
42,15,"0",0
43,15,"0",0
44,15,"0",0
45,15,"0",0
46,15,"0",0
47,15,"0",0
48,15,"0",0
49,15,"0",0
15,15,"1",NA
16,15,"1",0
17,15,"1",0
18,15,"1",0
19,15,"1",0
20,15,"1",0
21,15,"1",0.0616308401709683
22,15,"1",0.0356377543147453
23,15,"1",0
24,15,"1",0.0290269480396674
25,15,"1",0.0289144917657169
26,15,"1",0.104410526936793
27,15,"1",0.101094042971387
28,15,"1",0.0834203343873318
29,15,"1",0.0897652119198978
30,15,"1",0.0307889804294986
31,15,"1",0.031798745995999
32,15,"1",0.0954572752230611
33,15,"1",0
34,15,"1",0
35,15,"1",0
36,15,"1",0.0863198141037262
37,15,"1",0
38,15,"1",0.10325819852381
39,15,"1",0
40,15,"1",0
41,15,"1",0
42,15,"1",0
43,15,"1",0
44,15,"1",0
45,15,"1",0
46,15,"1",0
47,15,"1",0
48,15,"1",0
49,15,"1",NA
15,15,"2",NA
16,15,"2",NA
17,15,"2",NA
18,15,"2",0
19,15,"2",0
20,15,"2",0
21,15,"2",0
22,15,"2",0
23,15,"2",0
24,15,"2",0
25,15,"2",0
26,15,"2",0.0332465818358375
27,15,"2",0
28,15,"2",0
29,15,"2",0.0212272477507156
30,15,"2",0.0287540068291942
31,15,"2",0.0979331118222158
32,15,"2",0.0866405886821547
33,15,"2",0.0126687716800481
34,15,"2",0.112381805354065
35,15,"2",0.0407528323264338
36,15,"2",0.0649851517281505
37,15,"2",0
38,15,"2",0
39,15,"2",0.151444128110843
40,15,"2",0.0947711616888643
41,15,"2",0
42,15,"2",0
43,15,"2",0
44,15,"2",0.429678160233719
45,15,"2",0.248416052317178
46,15,"2",0
47,15,"2",0
48,15,"2",0
49,15,"2",0
15,15,"3",NA
16,15,"3",NA
17,15,"3",NA
18,15,"3",NA
19,15,"3",0
20,15,"3",0
21,15,"3",0
22,15,"3",0
23,15,"3",0
24,15,"3",0
25,15,"3",0.0383786433498926
26,15,"3",0
27,15,"3",0
28,15,"3",0
29,15,"3",0
30,15,"3",0.0339890769910886
31,15,"3",0
32,15,"3",0.054629430745535
33,15,"3",0.0117588915010028
34,15,"3",0
35,15,"3",0.0561807261608991
36,15,"3",0.12421445061847
