year,probs
1960,167.0
1961,162.0
1962,157.4
1963,153.1
1964,149.3
1965,145.9
1966,143.1
1967,140.8
1968,139.0
1969,137.3
1970,136.0
1971,134.7
1972,133.6
1973,132.6
1974,131.7
1975,130.8
1976,130.1
1977,129.3
1978,128.6
1979,127.9
1980,127.1
1981,126.2
1982,125.2
1983,124.1
1984,122.7
1985,121.2
1986,119.6
1987,118.0
1988,116.3
1989,114.5
1990,112.7
1991,110.8
1992,108.7
1993,106.5
1994,104.2
1995,101.7
1996,99.1
1997,96.4
1998,93.9
1999,91.4
2000,89.1
2001,87.0
2002,85.0
2003,83.4
2004,81.8
2005,80.4
2006,79.0
2007,77.7
2008,76.3
2009,74.8
2010,73.2
2011,71.6
2012,69.8
2013,67.9
2014,66.0
2015,64.1
2016,62.2
2017,60.3
2018,58.5
2019,56.8
2020,55.1
2021,53.4
2022,51.8
2023,50.1
