"postpartum","From","n","age_grp","Pill","IUD","Injectable","Condom","F.sterilization","Withdrawal","Implant","Other.trad","Other.mod","group"
0,"None",0.801841,"<18",0,0,0,0.519322409305585,0,0,0.480677590694415,0,0,"grp0<18"
0,"None",2.766434,"18-20",0,0,0.669479915298901,0.330520084701099,0,0,0,0,0,"grp018-20"
0,"None",30.044192,"20-25",0.142571948681462,0.064178760407336,0.335982774973612,0.381733248143268,0,0.0432699604635731,0.032263307330748,0,0,"grp020-25"
0,"None",68.542089,"25-35",0.214134194246691,0.0724208303601602,0.254108916931318,0.112424659248422,0.105229007537252,0.113090658792147,0.122516429284786,0.00607530359922354,0,"grp025-35"
0,"None",30.066798,">35",0.137980406160975,0.0304110201558543,0.191059254131418,0.160856137723744,0.249669485922645,0.0994991219217956,0.0955317889187934,0.0349927850647748,0,"grp0>35"
0,"Pill",0,"<18",0,0,0,0,1,0,0,0,0,"grp0<18"
0,"Pill",0.031323,"18-20",0,1,0,0,0,0,0,0,0,"grp018-20"
0,"Pill",0.745009,"20-25",0,0,0.203370697535198,0.278371133771538,0,0.518258168693264,0,0,0,"grp020-25"
0,"Pill",3.172861,"25-35",0,0,0.771598881892399,0,0,0.228401118107601,0,0,0,"grp025-35"
0,"Pill",7.209983,">35",0,0,0.00350264348750892,0.771621098135738,0.156317844300049,0.0685584140767045,0,0,0,"grp0>35"
0,"IUD",0,"<18",1,0,0,0,0,0,0,0,0,"grp0<18"
0,"IUD",0,"18-20",1,0,0,0,0,0,0,0,0,"grp018-20"
0,"IUD",4.645544,"20-25",0.0145812847752599,0,0.0276363758474788,0.619750883857735,0,0,0.338031455519526,0,0,"grp020-25"
0,"IUD",31.786134,"25-35",0.0840758426299971,0,0.10591300596669,0.270351216665732,0,0.539659934737581,0,0,0,"grp025-35"
0,"IUD",13.435017,">35",0.186572596074869,0,0,0.224796291660814,0,0.401557884147076,0,0.18707322811724,0,"grp0>35"
0,"Injectable",0,"<18",1,0,0,0,0,0,0,0,0,"grp0<18"
0,"Injectable",0.170152,"18-20",0.296946259814754,0,0,0,0,0.703053740185246,0,0,0,"grp018-20"
0,"Injectable",4.402525,"20-25",0.495108148164973,0,0,0.435463739558549,0,0.0694281122764777,0,0,0,"grp020-25"
