year,crude_death_rate
1950,27.789
1951,26.572
1952,25.6
1953,24.726
1954,23.973
1955,23.236
1956,22.509
1957,21.841
1958,21.197
1959,20.593
1960,20.065
1961,19.483
1962,18.857
1963,18.234
1964,17.506
1965,17.066
1966,16.223
1967,15.618
1968,15.084
1969,14.65
1970,14.273
1971,16.533
1972,13.75
1973,13.61
1974,13.507
1975,13.263
1976,13.084
1977,12.887
1978,12.616
1979,12.351
1980,12.066
1981,11.883
1982,11.707
1983,11.571
1984,11.459
1985,11.344
1986,11.259
1987,11.188
1988,11.079
1989,10.942
1990,10.763
1991,10.625
1992,10.513
1993,10.351
1994,10.187
1995,10.029
1996,9.834
1997,9.658
1998,9.348
1999,9.122
2000,8.899
2001,8.685
2002,8.492
2003,8.32
2004,8.137
2005,8.411
2006,7.904
2007,7.84
2008,7.8
2009,7.741
2010,7.691
2011,7.575
2012,7.482
2013,7.377
2014,7.272
2015,7.164
2016,7.039
2017,6.94
2018,6.852
2019,6.772
2020,7.301
2021,7.23
2022,6.513
2023,6.466
2024,6.445
2025,6.428
2026,6.418
2027,6.406
2028,6.394
2029,6.394
2030,6.388
