year,population
1960,45709310
1961,46921277
1962,48156128
1963,49447776
1964,50799999
1965,52209010
1966,53678667
1967,55214768
1968,56810507
1969,58460939
1970,60166719
1971,61847899
1972,63583194
1973,65461912
1974,67415487
1975,69461175
1976,71620254
1977,73901827
1978,76307379
1979,78997039
1980,82291010
1981,85802049
1982,89089246
1983,92227711
1984,95164936
1985,98229285
1986,101606764
1987,105130717
1988,108724739
1989,112336629
1990,116155576
1991,120060406
1992,123546848
1993,127020117
1994,130748083
1995,134582253
1996,138557092
1997,142531804
1998,146522356
1999,150565377
2000,154879127
2001,159270907
2002,163222549
2003,167110248
2004,171286000
2005,175453212
2006,179682690
2007,184493231
2008,189499113
2009,194376534
2010,199239047
2011,203746065
2012,207667125
2013,211073978
2014,214264647
2015,217290883
2016,220138869
2017,223273967
2018,226928892
2019,230800899
2020,235001746
2021,239477801
2022,243700667
2023,247504495
2024,251269164
