year,tfr
1960,6.8
1961,6.8
1962,6.8
1963,6.8
1964,6.8
1965,6.8
1966,6.8
1967,6.8
1968,6.8
1969,6.8
1970,6.801
1971,6.802
1972,6.805
1973,6.808
1974,6.811
1975,6.812
1976,6.808
1977,6.799
1978,6.783
1979,6.761
1980,6.734
1981,6.704
1982,6.674
1983,6.644
1984,6.615
1985,6.585
1986,6.554
1987,6.518
1988,6.476
1989,6.425
1990,6.364
1991,6.291
1992,6.207
1993,6.112
1994,6.008
1995,5.894
1996,5.771
1997,5.642
1998,5.507
1999,5.462
2000,5.352
2001,5.182
2002,5.012
2003,4.894
2004,4.685
2005,4.595
2006,4.589
2007,4.554
2008,4.515
2009,4.465
2010,4.398
2011,4.305
2012,4.204
2013,4.125
2014,4.055
2015,3.988
2016,3.902
2017,3.9
2018,3.855
2019,3.81
2020,3.765
2021,3.72
2022,3.662
2023,3.605
