year,ages,parity,percentage
1986,15-19,0,16.330690826727068
1986,15-19,1,4.530011325028313
1986,15-19,2,1.1098527746319367
1986,15-19,3,0.09060022650056625
1986,15-19,4,0.022650056625141562
1986,15-19,5,0.0
1986,15-19,6,0.0
1986,15-19,7,0.0
1986,15-19,8,0.0
1986,15-19,9,0.0
1986,15-19,10,0.0
1986,15-19,11,0.0
1986,15-19,12,0.0
1986,15-19,13,0.0
1986,15-19,14,0.0
1986,15-19,15,0.0
1986,15-19,16,0.0
1986,15-19,17,0.0
1986,20-24,0,5.345413363533409
1986,20-24,1,4.64326160815402
1986,20-24,2,5.413363533408833
1986,20-24,3,3.5560588901472254
1986,20-24,4,1.0419026047565119
1986,20-24,5,0.20385050962627407
1986,20-24,6,0.06795016987542468
1986,20-24,7,0.0
1986,20-24,8,0.0
1986,20-24,9,0.0
1986,20-24,10,0.0
1986,20-24,11,0.0
1986,20-24,12,0.0
1986,20-24,13,0.0
1986,20-24,14,0.0
1986,20-24,15,0.0
1986,20-24,16,0.0
1986,20-24,17,0.0
1986,25-29,0,1.7893544733861833
1986,25-29,1,2.1291053227633068
1986,25-29,2,2.6500566251415627
1986,25-29,3,4.2129105322763305
1986,25-29,4,4.394110985277464
1986,25-29,5,2.5594563986409966
1986,25-29,6,0.7701019252548131
1986,25-29,7,0.3171007927519819
1986,25-29,8,0.13590033975084936
1986,25-29,9,0.022650056625141562
1986,25-29,10,0.0
1986,25-29,11,0.0
1986,25-29,12,0.0
1986,25-29,13,0.0
1986,25-29,14,0.0
1986,25-29,15,0.0
1986,25-29,16,0.0
1986,25-29,17,0.0
1986,30-34,0,0.8154020385050963
1986,30-34,1,0.7701019252548131
1986,30-34,2,0.9966024915062288
1986,30-34,3,1.3363533408833523
1986,30-34,4,2.1291053227633068
1986,30-34,5,2.7180067950169877
1986,30-34,6,3.1936579841449606
1986,30-34,7,1.5628539071347678
1986,30-34,8,0.7701019252548131
1986,30-34,9,0.40770101925254815
1986,30-34,10,0.13590033975084936
1986,30-34,11,0.022650056625141562
1986,30-34,12,0.0
1986,30-34,13,0.0
1986,30-34,14,0.0
1986,30-34,15,0.0
1986,30-34,16,0.0
1986,30-34,17,0.0
1986,35-39,0,0.362400906002265
1986,35-39,1,0.2718006795016987
1986,35-39,2,0.6115515288788221
1986,35-39,3,0.40770101925254815
1986,35-39,4,1.245753114382786
1986,35-39,5,1.0645526613816534
1986,35-39,6,1.766704416761042
1986,35-39,7,1.3590033975084939
1986,35-39,8,1.7440543601359004
1986,35-39,9,1.0645526613816534
1986,35-39,10,0.5209513023782559
1986,35-39,11,0.3171007927519819
1986,35-39,12,0.06795016987542468
1986,35-39,13,0.06795016987542468
1986,35-39,14,0.0
1986,35-39,15,0.0
1986,35-39,16,0.0
1986,35-39,17,0.0
1986,40-44,0,0.2718006795016987
1986,40-44,1,0.2718006795016987
1986,40-44,2,0.2718006795016987
1986,40-44,3,0.2718006795016987
1986,40-44,4,0.4530011325028313
1986,40-44,5,0.5436013590033975
1986,40-44,6,0.6795016987542469
1986,40-44,7,0.6342015855039638
1986,40-44,8,1.0645526613816534
1986,40-44,9,0.9060022650056626
1986,40-44,10,0.883352208380521
1986,40-44,11,0.362400906002265
1986,40-44,12,0.13590033975084936
1986,40-44,13,0.045300113250283124
1986,40-44,14,0.0
1986,40-44,15,0.0
1986,40-44,16,0.0
1986,40-44,17,0.0
1986,45-49,0,0.3171007927519819
1986,45-49,1,0.22650056625141565
1986,45-49,2,0.2718006795016987
1986,45-49,3,0.13590033975084936
1986,45-49,4,0.1812004530011325
1986,45-49,5,0.3171007927519819
1986,45-49,6,0.4983012457531144
1986,45-49,7,0.7701019252548131
1986,45-49,8,0.928652321630804
1986,45-49,9,0.9060022650056626
1986,45-49,10,0.7927519818799547
1986,45-49,11,0.40770101925254815
1986,45-49,12,0.2491506228765572
1986,45-49,13,0.13590033975084936
1986,45-49,14,0.0
1986,45-49,15,0.0
1986,45-49,16,0.0
1986,45-49,17,0.0
1992-93,15-19,0,18.050713153724246
1992-93,15-19,1,3.2963549920760697
1992-93,15-19,2,1.0618066561014263
1992-93,15-19,3,0.17432646592709986
1992-93,15-19,4,0.01584786053882726
1992-93,15-19,5,0.0
1992-93,15-19,6,0.0
1992-93,15-19,7,0.0
1992-93,15-19,8,0.0
1992-93,15-19,9,0.0
1992-93,15-19,10,0.0
1992-93,15-19,11,0.0
1992-93,15-19,12,0.0
1992-93,15-19,13,0.0
1992-93,15-19,14,0.0
1992-93,15-19,15,0.0
1992-93,15-19,16,0.0
1992-93,15-19,17,0.0
1992-93,20-24,0,6.24405705229794
1992-93,20-24,1,4.500792393026941
1992-93,20-24,2,4.199683042789223
1992-93,20-24,3,2.5515055467511885
1992-93,20-24,4,1.0776545166402536
1992-93,20-24,5,0.3486529318541997
1992-93,20-24,6,0.06339144215530904
1992-93,20-24,7,0.0
1992-93,20-24,8,0.0
1992-93,20-24,9,0.0
1992-93,20-24,10,0.0
1992-93,20-24,11,0.0
1992-93,20-24,12,0.0
1992-93,20-24,13,0.0
1992-93,20-24,14,0.0
1992-93,20-24,15,0.0
1992-93,20-24,16,0.0
1992-93,20-24,17,0.0
1992-93,25-29,0,2.202852614896989
1992-93,25-29,1,1.7908082408874801
1992-93,25-29,2,2.757527733755943
1992-93,25-29,3,2.9635499207606975
1992-93,25-29,4,3.4231378763866878
1992-93,25-29,5,2.028526148969889
1992-93,25-29,6,0.9825673534072901
1992-93,25-29,7,0.28526148969889065
1992-93,25-29,8,0.06339144215530904
1992-93,25-29,9,0.01584786053882726
1992-93,25-29,10,0.0
1992-93,25-29,11,0.0
1992-93,25-29,12,0.0
1992-93,25-29,13,0.0
