age,parity,dataset,percentage
15-19,0,DHS 1986,16.330690826727068
15-19,1,DHS 1986,4.530011325028313
15-19,2,DHS 1986,1.1098527746319369
15-19,3,DHS 1986,0.0906002265005662
15-19,4,DHS 1986,0.0226500566251415
20-24,0,DHS 1986,5.345413363533409
20-24,1,DHS 1986,4.64326160815402
20-24,2,DHS 1986,5.413363533408833
20-24,3,DHS 1986,3.556058890147225
20-24,4,DHS 1986,1.041902604756512
20-24,5,DHS 1986,0.203850509626274
20-24,6,DHS 1986,0.0679501698754246
25-29,0,DHS 1986,1.7893544733861833
25-29,1,DHS 1986,2.1291053227633068
25-29,2,DHS 1986,2.6500566251415627
25-29,3,DHS 1986,4.2129105322763305
25-29,4,DHS 1986,4.394110985277464
25-29,5,DHS 1986,2.5594563986409966
25-29,6,DHS 1986,0.7701019252548131
25-29,7,DHS 1986,0.3171007927519819
25-29,8,DHS 1986,0.1359003397508493
25-29,9,DHS 1986,0.0226500566251415
30-34,0,DHS 1986,0.8154020385050963
30-34,1,DHS 1986,0.7701019252548131
30-34,2,DHS 1986,0.9966024915062288
30-34,3,DHS 1986,1.3363533408833523
30-34,4,DHS 1986,2.1291053227633068
30-34,5,DHS 1986,2.718006795016988
30-34,6,DHS 1986,3.1936579841449606
30-34,7,DHS 1986,1.5628539071347678
30-34,8,DHS 1986,0.7701019252548131
30-34,9,DHS 1986,0.4077010192525481
30-34,10,DHS 1986,0.1359003397508493
30-34,11,DHS 1986,0.0226500566251415
35-39,0,DHS 1986,0.362400906002265
35-39,1,DHS 1986,0.2718006795016987
35-39,2,DHS 1986,0.6115515288788221
35-39,3,DHS 1986,0.4077010192525481
35-39,4,DHS 1986,1.245753114382786
35-39,5,DHS 1986,1.0645526613816534
35-39,6,DHS 1986,1.766704416761042
35-39,7,DHS 1986,1.359003397508494
35-39,8,DHS 1986,1.7440543601359004
35-39,9,DHS 1986,1.0645526613816534
35-39,10,DHS 1986,0.5209513023782559
35-39,11,DHS 1986,0.3171007927519819
35-39,12,DHS 1986,0.0679501698754246
35-39,13,DHS 1986,0.0679501698754246
40-44,0,DHS 1986,0.2718006795016987
40-44,1,DHS 1986,0.2718006795016987
40-44,2,DHS 1986,0.2718006795016987
40-44,3,DHS 1986,0.2718006795016987
40-44,4,DHS 1986,0.4530011325028313
40-44,5,DHS 1986,0.5436013590033975
40-44,6,DHS 1986,0.6795016987542469
40-44,7,DHS 1986,0.6342015855039638
40-44,8,DHS 1986,1.0645526613816534
40-44,9,DHS 1986,0.9060022650056626
40-44,10,DHS 1986,0.883352208380521
40-44,11,DHS 1986,0.362400906002265
40-44,12,DHS 1986,0.1359003397508493
40-44,13,DHS 1986,0.0453001132502831
45-49,0,DHS 1986,0.3171007927519819
45-49,1,DHS 1986,0.2265005662514156
45-49,2,DHS 1986,0.2718006795016987
45-49,3,DHS 1986,0.1359003397508493
45-49,4,DHS 1986,0.1812004530011325
45-49,5,DHS 1986,0.3171007927519819
45-49,6,DHS 1986,0.4983012457531144
45-49,7,DHS 1986,0.7701019252548131
45-49,8,DHS 1986,0.928652321630804
45-49,9,DHS 1986,0.9060022650056626
45-49,10,DHS 1986,0.7927519818799547
45-49,11,DHS 1986,0.4077010192525481
45-49,12,DHS 1986,0.2491506228765572
45-49,13,DHS 1986,0.1359003397508493
15-19,0,DHS 1992-93,18.05071315372425
15-19,1,DHS 1992-93,3.2963549920760697
15-19,2,DHS 1992-93,1.0618066561014263
15-19,3,DHS 1992-93,0.1743264659270998
15-19,4,DHS 1992-93,0.0158478605388272
20-24,0,DHS 1992-93,6.24405705229794
20-24,1,DHS 1992-93,4.500792393026941
20-24,2,DHS 1992-93,4.199683042789223
20-24,3,DHS 1992-93,2.5515055467511885
20-24,4,DHS 1992-93,1.0776545166402536
20-24,5,DHS 1992-93,0.3486529318541997
20-24,6,DHS 1992-93,0.063391442155309
25-29,0,DHS 1992-93,2.202852614896989
25-29,1,DHS 1992-93,1.79080824088748
25-29,2,DHS 1992-93,2.757527733755943
25-29,3,DHS 1992-93,2.963549920760697
25-29,4,DHS 1992-93,3.423137876386688
25-29,5,DHS 1992-93,2.028526148969889
25-29,6,DHS 1992-93,0.98256735340729
25-29,7,DHS 1992-93,0.2852614896988906
25-29,8,DHS 1992-93,0.063391442155309
25-29,9,DHS 1992-93,0.0158478605388272
30-34,0,DHS 1992-93,0.8082408874801902
30-34,1,DHS 1992-93,0.6497622820919177
30-34,2,DHS 1992-93,1.2202852614896988
30-34,3,DHS 1992-93,1.4580031695721078
30-34,4,DHS 1992-93,1.806656101426308
30-34,5,DHS 1992-93,2.5039619651347067
30-34,6,DHS 1992-93,2.757527733755943
30-34,7,DHS 1992-93,1.473851030110935
30-34,8,DHS 1992-93,0.7290015847860539
30-34,9,DHS 1992-93,0.4278922345483359
30-34,10,DHS 1992-93,0.1426307448494453
30-34,12,DHS 1992-93,0.0158478605388272
35-39,0,DHS 1992-93,0.4278922345483359
35-39,1,DHS 1992-93,0.4754358161648178
35-39,2,DHS 1992-93,0.9033280507131538
35-39,3,DHS 1992-93,0.8082408874801902
35-39,4,DHS 1992-93,0.8874801901743266
35-39,5,DHS 1992-93,1.4896988906497624
35-39,6,DHS 1992-93,1.96513470681458
35-39,7,DHS 1992-93,2.13946117274168
35-39,8,DHS 1992-93,1.7274167987321711
35-39,9,DHS 1992-93,1.0776545166402536
35-39,10,DHS 1992-93,0.4754358161648178
35-39,11,DHS 1992-93,0.2218700475435816
35-39,12,DHS 1992-93,0.063391442155309
35-39,13,DHS 1992-93,0.0316957210776545
40-44,0,DHS 1992-93,0.2694136291600634
40-44,1,DHS 1992-93,0.2852614896988906
40-44,2,DHS 1992-93,0.4120443740095087
40-44,3,DHS 1992-93,0.4278922345483359
40-44,4,DHS 1992-93,0.4437400950871633
40-44,5,DHS 1992-93,0.7131537242472267
40-44,6,DHS 1992-93,0.9350237717908084
40-44,7,DHS 1992-93,1.283676703645008
40-44,8,DHS 1992-93,1.410459587955626
40-44,9,DHS 1992-93,1.299524564183835
40-44,10,DHS 1992-93,1.0142630744849446
40-44,11,DHS 1992-93,0.5229793977812995
40-44,12,DHS 1992-93,0.2060221870047543
40-44,13,DHS 1992-93,0.0792393026941362
40-44,14,DHS 1992-93,0.0158478605388272
40-44,15,DHS 1992-93,0.0158478605388272
45-49,0,DHS 1992-93,0.1426307448494453
45-49,1,DHS 1992-93,0.1109350237717908
45-49,2,DHS 1992-93,0.2852614896988906
45-49,3,DHS 1992-93,0.2535657686212361
45-49,4,DHS 1992-93,0.2852614896988906
45-49,5,DHS 1992-93,0.3961965134706814
45-49,6,DHS 1992-93,0.5071315372424723
45-49,7,DHS 1992-93,0.6973058637083994
45-49,8,DHS 1992-93,0.7765451664025357
45-49,9,DHS 1992-93,0.9191759112519812
45-49,10,DHS 1992-93,0.7448494453248812
45-49,11,DHS 1992-93,0.3645007923930269
45-49,12,DHS 1992-93,0.2377179080824089
