year,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49
1950,18.629,219.442,274.339,281.032,246.23,187.405,98.362,30.93
1951,18.626,218.453,274.639,282.188,246.685,187.561,97.763,30.704
1952,18.442,217.42,274.872,282.754,247.376,187.913,97.646,30.874
1953,18.062,216.701,275.214,282.764,247.585,188.922,98.48,31.195
1954,17.845,216.202,276.708,283.755,248.065,189.319,98.606,31.264
1955,17.429,215.666,277.847,284.664,249.913,189.736,99.141,31.419
1956,17.046,214.041,278.945,286.147,251.321,191.622,100.22,31.474
1957,15.188,206.243,280.299,289.277,254.337,194.842,103.981,32.337
1958,15.444,205.53,279.459,289.625,254.318,197.501,107.739,33.216
1959,16.813,208.247,278.25,289.188,254.663,198.798,110.121,33.894
1960,16.879,207.515,277.38,288.315,257.067,201.943,113.76,34.724
1961,17.309,208.999,274.827,286.475,258.488,205.05,118.322,35.883
1962,16.101,205.383,276.575,285.743,261.77,208.62,122.108,37.078
1963,14.153,198.492,277.213,288.576,266.235,212.594,126.377,38.143
1964,13.087,192.46,280.667,289.503,269.432,216.072,130.294,39.219
1965,13.61,190.986,282.808,288.989,271.16,216.764,132.754,39.964
1966,13.658,187.4,286.248,287.057,269.322,219.364,136.244,40.801
1967,13.38,182.557,289.006,287.044,267.596,221.974,138.884,42.26
1968,12.221,175.237,292.87,288.898,266.38,224.851,141.825,43.04
1969,12.129,174.065,292.227,292.044,266.76,224.739,141.972,44.28
1970,12.412,175.243,290.37,294.604,267.635,222.996,141.594,44.743
1971,13.125,177.402,286.206,295.049,268.199,223.015,142.464,43.813
1972,13.199,175.488,282.76,296.646,271.032,224.492,141.569,43.451
1973,12.387,170.105,283.261,299.218,270.535,227.255,142.468,42.84
1974,11.968,168.478,281.701,304.356,270.336,225.298,142.463,43.068
1975,12.373,168.797,285.429,304.336,268.551,224.439,141.078,42.753
1976,13.297,172.019,288.267,306.947,267.062,219.422,139.404,42.387
1977,13.393,170.747,289.703,306.135,269.703,218.551,139.37,43.14
1978,13.632,168.709,287.527,300.846,271.641,222.83,143.361,44.419
1979,12.905,163.172,285.579,297.689,274.711,227.548,146.223,46.652
1980,12.845,161.686,284.045,295.82,275.458,231.772,146.667,46.395
1981,12.55,159.926,282.526,297.186,277.28,229.803,146.28,46.38
1982,12.393,157.455,280.231,296.571,277.46,229.828,145.545,45.781
1983,11.917,153.884,277.343,297.062,278.27,228.676,142.847,44.146
1984,11.644,149.241,272.314,295.707,276.075,228.389,140.997,43.662
1985,11.567,144.91,269.827,296.033,270.3,225.364,138.645,41.862
1986,10.173,135.812,259.885,293.953,273.235,226.211,137.181,40.264
1987,9.927,132.644,251.812,289.291,272.183,225.06,134.112,38.57
1988,9.607,129.215,246.091,282.259,261.807,216.666,128.629,37.802
1989,8.769,121.1,247.682,277.883,257.638,214.204,126.317,37.969
1990,8.322,117.78,247.131,275.735,255.042,210.952,123.318,36.847
1991,7.84,113.257,236.851,272.962,254.31,208.546,121.662,35.009
1992,8.107,113.831,225.888,265.919,252.095,208.251,120.945,32.884
1993,7.527,109.902,223.737,263.415,247.45,204.435,118.853,32.597
1994,6.983,105.906,219.917,254.098,243.69,199.313,116.239,34.301
1995,6.784,104.541,216.718,248.808,239.853,197.316,114.581,32.675
1996,6.749,104.179,208.696,248.138,236.743,195.217,113.419,29.923
1997,6.916,104.559,206.469,247.572,233.937,190.3,109.761,27.493
1998,6.87,103.785,203.313,244.702,232.628,188.492,108.751,26.878
1999,6.625,101.665,204.431,244.891,233.369,188.135,107.312,27.261
2000,6.465,100.189,201.092,241.428,226.916,187.614,107.345,27.619
2001,6.026,97.69,199.95,238.672,223.568,185.078,104.832,26.0
2002,5.481,95.218,203.087,236.195,223.167,176.872,97.683,24.382
2003,5.553,95.615,202.016,234.188,221.629,173.77,94.522,23.166
2004,5.257,93.005,199.97,232.209,223.162,168.7,91.682,23.153
2005,5.128,91.502,198.664,229.337,223.518,172.379,93.187,23.694
2006,5.279,93.5,199.217,227.859,220.81,173.99,95.062,24.175
2007,4.831,90.84,198.014,224.169,217.939,172.086,92.665,22.205
2008,4.206,88.049,199.366,225.703,214.328,167.004,91.925,20.542
2009,3.811,85.944,199.249,231.089,214.928,169.996,92.265,20.074
2010,3.52,81.803,196.372,227.116,212.337,175.613,94.818,22.16
2011,3.294,80.87,195.67,226.023,210.024,172.775,96.961,23.022
2012,3.196,80.102,193.649,225.477,209.317,169.896,96.018,23.923
2013,2.866,77.179,192.039,226.042,209.279,166.417,94.314,24.263
2014,2.712,75.559,188.256,226.069,208.345,160.848,93.665,25.532
2015,2.706,73.748,182.661,219.913,204.774,156.348,89.427,26.306
2016,2.617,71.999,180.049,218.287,198.998,155.703,84.734,23.957
2017,2.518,69.81,179.4,217.331,194.005,157.36,81.591,22.175
2018,2.543,69.254,178.711,216.07,191.828,157.592,79.54,21.097
2019,2.523,68.488,176.623,213.537,188.918,154.781,77.437,20.592
2020,2.5,67.617,175.179,211.431,185.875,152.022,75.394,20.02
2021,2.443,66.454,172.975,208.75,182.772,149.398,74.289,19.405
