year,cpr,mcpr
1990,6.6,3.8
1991,6.9,4.1
1992,7.2,4.4
1993,7.5,4.7
1994,7.9,5.2
1995,8.3,5.6
1996,8.8,6.1
1997,9.1,6.5
1998,9.2,6.9
1999,9.2,7.1
2000,9.2,7.2
2001,9.1,7.3
2002,9.1,7.4
2003,9.0,7.6
2004,9.1,7.7
2005,9.1,7.9
2006,9.3,8.1
2007,9.5,8.3
2008,9.8,8.7
2009,10.1,9.0
2010,10.6,9.5
2011,11.4,10.3
2012,12.5,11.3
2013,13.9,12.7
2014,15.5,14.2
2015,16.8,15.5
2016,18.1,16.8
2017,19.2,17.9
2018,19.5,18.2
2019,19.7,18.5
2020,20.1,19.0
2021,20.5,19.4
2022,21.0,19.9
2023,21.5,20.4
2024,21.9,20.9
2025,22.5,21.5
2026,23.0,22.0
2027,23.5,22.5
2028,23.9,23.0
2029,24.4,23.4
2030,24.8,23.9
