"age","parity","Freq","percentage"
"15-19","0",3126.971983,18.6273425607112
"20-24","0",1471.751949,8.76721245583907
"25-29","0",623.663541,3.71515782168528
"30-34","0",334.870861,1.99482255528968
"35-39","0",140.084361,0.834481215032151
"40-44","0",99.85572,0.594839580654619
"45-49","0",61.972021,0.369166743617284
"15-19","1",491.537928,2.92808679329898
"20-24","1",812.081488,4.83756175188862
"25-29","1",559.601341,3.33353990151193
"30-34","1",329.846049,1.96488979767752
"35-39","1",129.176445,0.76950286247252
"40-44","1",90.437824,0.538737263158047
"45-49","1",50.008969,0.297902955874034
"15-19","2",98.960059,0.589504136539363
"20-24","2",519.980457,3.09751866984162
"25-29","2",590.226572,3.51597411324753
"30-34","2",350.18089,2.08602425340142
"35-39","2",211.144252,1.25778431438192
"40-44","2",129.103186,0.769066459301633
"45-49","2",63.856906,0.380394985754861
"15-19","3",10.160968,0.0605287903804109
"20-24","3",213.914516,1.2742867508579
"25-29","3",508.389969,3.02847424232658
"30-34","3",423.523562,2.52292585760165
"35-39","3",274.872297,1.6374116763772
"40-44","3",205.030877,1.22136699726294
"45-49","3",123.978769,0.738540355645484
"15-19","4",0,0
"20-24","4",49.941371,0.297500275226665
"25-29","4",353.135023,2.10362199577329
"30-34","4",458.894022,2.73362735365978
"35-39","4",302.531029,1.80217448159575
"40-44","4",209.842857,1.25003191666183
"45-49","4",126.800175,0.755347444532294
"15-19","5",0,0
"20-24","5",10.231341,0.0609480016765631
"25-29","5",123.31651,0.734595285039166
"30-34","5",384.39086,2.28981272149325
"35-39","5",280.978425,1.67378582318565
"40-44","5",241.564398,1.43899683671006
"45-49","5",170.604817,1.01629128308261
"15-19","6",0,0
"20-24","6",1.863375,0.0111001072707933
"25-29","6",49.525535,0.295023144103269
"30-34","6",308.261536,1.83631105765587
"35-39","6",539.44681,3.21347955075455
"40-44","6",610.22995,3.63513404701192
"45-49","6",520.258138,3.09917281293523
