Estimate,Std. Error,t value,Pr(>|t|),rhs
-20.70246735,0.288573114,-71.74080437,5.02E-123,(Intercept)
0,0,0,0.00E+00,"age_grp(0,18]"
0.097674702,0.347600954,0.280996646,0.779078296,"age_grp(18,20]"
0.093811115,0.279376945,0.33578689,0.737474253,"age_grp(20,25]"
0.053353044,0.291742091,0.18287743,0.855127171,"age_grp(25,35]"
0.106668178,0.275257477,0.387521456,0.69888846,"age_grp(35,50]"
23.02470424,1.113312656,20.68125617,6.16E-47,fp_ever_user
-3.22421013,1.314660753,-2.452503525,0.01526763,"age_grp(18,20]:fp_ever_user"
-2.408225507,1.165144591,-2.066889831,0.040365765,"age_grp(20,25]:fp_ever_user"
-2.480984281,1.127011386,-2.201383509,0.029149623,"age_grp(25,35]:fp_ever_user"
-3.01258005,1.191166913,-2.529099841,0.012409426,"age_grp(35,50]:fp_ever_user"
