age,edu,se
0,0,NA
1,0,NA
2,0,NA
3,0,NA
4,0,NA
5,0,NA
6,0,NA
7,0,NA
8,0,NA
9,0.1526849,NA
10,0.431872842,NA
11,0.711060785,NA
12,0.990248728,NA
13,1.26943667,NA
14,1.548624613,NA
50,2.489753579,NA
51,2.489753579,NA
52,2.489753579,NA
53,2.489753579,NA
54,2.489753579,NA
55,2.489753579,NA
56,2.489753579,NA
57,2.489753579,NA
58,2.489753579,NA
59,2.489753579,NA
60,2.489753579,NA
61,2.489753579,NA
62,2.489753579,NA
63,2.489753579,NA
64,2.489753579,NA
65,2.489753579,NA
66,2.489753579,NA
67,2.489753579,NA
68,2.489753579,NA
69,2.489753579,NA
70,2.489753579,NA
71,2.489753579,NA
72,2.489753579,NA
73,2.489753579,NA
74,2.489753579,NA
75,2.489753579,NA
76,2.489753579,NA
77,2.489753579,NA
78,2.489753579,NA
79,2.489753579,NA
80,2.489753579,NA
81,2.489753579,NA
82,2.489753579,NA
83,2.489753579,NA
84,2.489753579,NA
85,2.489753579,NA
86,2.489753579,NA
87,2.489753579,NA
88,2.489753579,NA
89,2.489753579,NA
90,2.489753579,NA
91,2.489753579,NA
92,2.489753579,NA
93,2.489753579,NA
94,2.489753579,NA
95,2.489753579,NA
96,2.489753579,NA
97,2.489753579,NA
98,2.489753579,NA
99,2.489753579,NA
15,4.834844071,0.212433875
16,5.02119819,0.220463389
17,5.684308524,0.234337726
18,5.63836288,0.329499888
19,5.951595841,0.285767566
20,5.805037987,0.421328451
21,6.839923604,0.423191383
22,5.666716222,0.440263567
23,5.467138975,0.393123053
24,5.416777021,0.459423791
25,4.338462377,0.472672858
26,4.856706665,0.413411751
27,5.730905892,1.131580444
28,3.204679224,0.481820767
29,3.867235584,0.460330983
30,3.255882396,0.388919192
31,3.035302304,0.444144766
32,2.779788691,0.460024409
33,1.862629177,0.33235983
34,3.696745786,0.639604585
35,2.463879647,0.450144207
36,2.684626689,0.366827528
37,2.426150789,0.407927489
38,2.447412517,0.542805255
39,2.258232222,0.519710276
40,1.827812556,0.334642365
41,2.706581685,0.59104576
42,3.100671372,0.894010263
43,4.929458542,1.094615629
44,2.551473645,0.544336591
45,2.618302082,0.653264757
46,1.953475832,0.576496358
47,3.102665474,0.617105462
48,2.338730463,0.503334977
49,2.373873974,0.576834133
