"edu","urban","percent"
"0","0",0.726659730691344
"1","0",0.00385762977718684
"2","0",0.0149947823711605
"3","0",0.0166279007025626
"4","0",0.0156293930676581
"5","0",0.0728137087354222
"6","0",0.0270899644719663
"7","0",0.0115104363834905
"8","0",0.0214729930745667
"9","0",0.0368592357651417
"10","0",0.00892216101577316
"11","0",0.00961322583540392
"12","0",0.0196619983848598
"13","0",0.00582178250147682
"14","0",0.00251853143467317
"15","0",0.00229957448023601
"16","0",0.00257498368872243
"17","0",0.00052561942716188
"18","0",0.000351013654255114
"19","0",0
"20","0",0
"21","0",0
"22","0",0
"23","0",0
"24","0",0
"25","0",0
"26","0",0
"27","0",0
"28","0",0
"29","0",0
"30","0",0
"31","0",0
"32","0",0
"33","0",0
"34","0",0
"35","0",0
"36","0",0
"37","0",0
"38","0",0
"39","0",0
"40","0",0
"41","0",0
"42","0",0
"43","0",0
"44","0",0
"45","0",0
"46","0",0
"47","0",0
"48","0",0
"49","0",0
"50","0",0
"51","0",0
"52","0",0
"53","0",0
"54","0",0
"55","0",0
"56","0",0
"57","0",0
"58","0",0
"59","0",0
"60","0",0
"61","0",0
"62","0",0
"63","0",0
"64","0",0
"65","0",0
"66","0",0
"67","0",0
"68","0",0
"69","0",0
"70","0",0
"71","0",0
"72","0",0
"73","0",0
"74","0",0
"75","0",0
"76","0",0
"77","0",0
"78","0",0
"79","0",0
"80","0",0
"81","0",0
"82","0",0
"83","0",0
"84","0",0
"85","0",0
"86","0",0
"87","0",0
"88","0",0
"89","0",0
"90","0",0
"91","0",0
"92","0",0
"93","0",0
"94","0",0
"95","0",0
"96","0",0
"97","0",0
"98","0",0.000195334536937834
"0","1",0.370368089371778
"1","1",0.00633859372474994
"2","1",0.0165508947775522
"3","1",0.0268063742914538
"4","1",0.0218571647398861
"5","1",0.151695942662131
"6","1",0.0362382232638427
"7","1",0.0196460839447597
"8","1",0.0307589011976979
"9","1",0.0554767155270397
"10","1",0.0335654539925594
"11","1",0.034110376749461
"12","1",0.069403001599848
"13","1",0.0390260909167997
"14","1",0.0211799857616343
"15","1",0.0221804114046225
"16","1",0.0225835351093792
"17","1",0.00432038690668839
"18","1",0.013006567071912
"19","1",0.00106973159494564
"20","1",0.00181406886671601
"21","1",0.000892993618873845
"22","1",0
"23","1",0
"24","1",0
"25","1",0
"26","1",0
"27","1",0
"28","1",0
"29","1",0
"30","1",0
"31","1",0
"32","1",0
"33","1",0
"34","1",0
"35","1",0
"36","1",0
"37","1",0
"38","1",0
"39","1",0
"40","1",0
"41","1",0
"42","1",0
"43","1",0
"44","1",0
"45","1",0
"46","1",0
"47","1",0
"48","1",0
"49","1",0
"50","1",0
"51","1",0
"52","1",0
"53","1",0
"54","1",0
"55","1",0
"56","1",0
"57","1",0
"58","1",0
"59","1",0
"60","1",0
"61","1",0
"62","1",0
"63","1",0
"64","1",0
"65","1",0
"66","1",0
"67","1",0
"68","1",0
"69","1",0
"70","1",0
"71","1",0
"72","1",0
"73","1",0
"74","1",0
"75","1",0
"76","1",0
"77","1",0
"78","1",0
"79","1",0
"80","1",0
"81","1",0
"82","1",0
"83","1",0
"84","1",0
"85","1",0
"86","1",0
"87","1",0
"88","1",0
"89","1",0
"90","1",0
"91","1",0
"92","1",0
"93","1",0
"94","1",0
"95","1",0
"96","1",0
"97","1",0
"98","1",0.00111041290566955
