"age","edu","parity","cum.percent"
15,98,"0",0
16,98,"0",0
17,98,"0",0
18,98,"0",0
19,98,"0",0
20,98,"0",0
21,98,"0",0
22,98,"0",0
23,98,"0",0
24,98,"0",0
25,98,"0",0
26,98,"0",0
27,98,"0",0
28,98,"0",0
29,98,"0",0
30,98,"0",0
31,98,"0",0
32,98,"0",0
33,98,"0",0
34,98,"0",0
35,98,"0",0
36,98,"0",0
37,98,"0",0
38,98,"0",0
39,98,"0",0
40,98,"0",0
41,98,"0",0
42,98,"0",0
43,98,"0",0
44,98,"0",0
45,98,"0",0
46,98,"0",0
47,98,"0",0
48,98,"0",0
49,98,"0",0
15,98,"1",0
16,98,"1",0
17,98,"1",0
18,98,"1",0
19,98,"1",0
20,98,"1",0
21,98,"1",0
22,98,"1",0
23,98,"1",0
24,98,"1",0
25,98,"1",0
26,98,"1",0
27,98,"1",0.0105316967627674
28,98,"1",0
29,98,"1",0
30,98,"1",0
31,98,"1",0
32,98,"1",0
33,98,"1",0
34,98,"1",0
35,98,"1",0
36,98,"1",0
37,98,"1",0
38,98,"1",0
39,98,"1",0
40,98,"1",0
41,98,"1",0
42,98,"1",0
43,98,"1",0
44,98,"1",0
45,98,"1",0
46,98,"1",0
47,98,"1",0
48,98,"1",0
49,98,"1",0
15,98,"2",NA
16,98,"2",NA
17,98,"2",0
18,98,"2",0
19,98,"2",0
20,98,"2",0
21,98,"2",0
22,98,"2",0
23,98,"2",0
24,98,"2",0
25,98,"2",0
26,98,"2",0
27,98,"2",0
28,98,"2",0
29,98,"2",0
30,98,"2",0
31,98,"2",0
32,98,"2",0
33,98,"2",0
34,98,"2",0
35,98,"2",0
36,98,"2",0
37,98,"2",0
38,98,"2",0.0887249690721936
39,98,"2",0
40,98,"2",0
41,98,"2",0
42,98,"2",0
43,98,"2",0
44,98,"2",0
45,98,"2",0
46,98,"2",0
47,98,"2",0
48,98,"2",0
49,98,"2",0
15,98,"3",NA
16,98,"3",NA
17,98,"3",NA
18,98,"3",NA
19,98,"3",0
20,98,"3",0
21,98,"3",0
22,98,"3",0
23,98,"3",0
24,98,"3",0
25,98,"3",0
26,98,"3",0
27,98,"3",0
28,98,"3",0
29,98,"3",0
30,98,"3",0
31,98,"3",0
32,98,"3",0
33,98,"3",0
34,98,"3",0
35,98,"3",0
36,98,"3",0
37,98,"3",0
38,98,"3",0
39,98,"3",0
40,98,"3",0
41,98,"3",0
42,98,"3",0
43,98,"3",0
44,98,"3",0
45,98,"3",0
46,98,"3",0
47,98,"3",0
48,98,"3",0
49,98,"3",0
15,98,"4",NA
16,98,"4",NA
17,98,"4",NA
18,98,"4",NA
19,98,"4",NA
20,98,"4",0
21,98,"4",0
22,98,"4",0
23,98,"4",0
24,98,"4",0
25,98,"4",0
26,98,"4",0
27,98,"4",0.0744036911194354
28,98,"4",0
29,98,"4",0
30,98,"4",0
31,98,"4",0
32,98,"4",0
33,98,"4",0
34,98,"4",0
35,98,"4",0
36,98,"4",0
37,98,"4",0
38,98,"4",0
39,98,"4",0
40,98,"4",0
41,98,"4",0
42,98,"4",0
43,98,"4",0
44,98,"4",0
45,98,"4",0
46,98,"4",0
47,98,"4",0
48,98,"4",0
49,98,"4",0
15,98,"5",NA
16,98,"5",NA
17,98,"5",NA
18,98,"5",NA
19,98,"5",NA
20,98,"5",NA
21,98,"5",NA
22,98,"5",NA
23,98,"5",0
24,98,"5",0
25,98,"5",0
26,98,"5",0
27,98,"5",0
28,98,"5",0
29,98,"5",0
30,98,"5",0
31,98,"5",0
32,98,"5",0
33,98,"5",0
34,98,"5",0
35,98,"5",0
36,98,"5",0
37,98,"5",0
38,98,"5",0
39,98,"5",0
40,98,"5",0
41,98,"5",0
42,98,"5",0
43,98,"5",0
44,98,"5",0
45,98,"5",0
46,98,"5",0
47,98,"5",0
48,98,"5",0
49,98,"5",0
15,98,"6",NA
16,98,"6",NA
17,98,"6",NA
18,98,"6",NA
19,98,"6",NA
20,98,"6",NA
21,98,"6",NA
22,98,"6",NA
23,98,"6",NA
24,98,"6",NA
25,98,"6",0
26,98,"6",0
27,98,"6",0
28,98,"6",0
29,98,"6",0
30,98,"6",0
31,98,"6",0
32,98,"6",0
33,98,"6",0
34,98,"6",0
35,98,"6",0
36,98,"6",0
37,98,"6",0
38,98,"6",0
39,98,"6",0
40,98,"6",0
41,98,"6",0
42,98,"6",0
43,98,"6",0
44,98,"6",0
45,98,"6",0
46,98,"6",0
47,98,"6",0
48,98,"6",0
49,98,"6",0
15,21,"0",0
16,21,"0",0
17,21,"0",0
18,21,"0",0
19,21,"0",0
20,21,"0",0
21,21,"0",0
22,21,"0",0
23,21,"0",0
24,21,"0",0
25,21,"0",0
26,21,"0",0
27,21,"0",0
28,21,"0",0
29,21,"0",0
30,21,"0",0
31,21,"0",0
32,21,"0",0
33,21,"0",0
34,21,"0",0
35,21,"0",0
36,21,"0",0
37,21,"0",0
38,21,"0",0
39,21,"0",0
40,21,"0",0
41,21,"0",0
42,21,"0",0
43,21,"0",0
44,21,"0",0
45,21,"0",0
46,21,"0",0
47,21,"0",0
48,21,"0",0
49,21,"0",0
15,21,"1",0
16,21,"1",0
17,21,"1",0
18,21,"1",0
19,21,"1",0
20,21,"1",0
21,21,"1",0
22,21,"1",0
23,21,"1",0
24,21,"1",0
25,21,"1",0
26,21,"1",0
27,21,"1",0.0105316967627674
28,21,"1",0
29,21,"1",0
30,21,"1",0
31,21,"1",0
32,21,"1",0
33,21,"1",0
34,21,"1",0
35,21,"1",0
36,21,"1",0
37,21,"1",0
38,21,"1",0
39,21,"1",0
40,21,"1",0
41,21,"1",0
42,21,"1",0
43,21,"1",0
44,21,"1",0
45,21,"1",0
46,21,"1",0
47,21,"1",0
48,21,"1",0
49,21,"1",0
15,21,"2",NA
16,21,"2",NA
17,21,"2",0
18,21,"2",0
19,21,"2",0
20,21,"2",0
21,21,"2",0
22,21,"2",0
23,21,"2",0
24,21,"2",0
25,21,"2",0
26,21,"2",0
27,21,"2",0
28,21,"2",0
29,21,"2",0
30,21,"2",0
31,21,"2",0
32,21,"2",0
33,21,"2",0
34,21,"2",0
35,21,"2",0
36,21,"2",0
37,21,"2",0
38,21,"2",0.0887249690721936
39,21,"2",0
40,21,"2",0
41,21,"2",0
42,21,"2",0
43,21,"2",0
44,21,"2",0
45,21,"2",0
46,21,"2",0
47,21,"2",0
48,21,"2",0
49,21,"2",0
15,21,"3",NA
16,21,"3",NA
17,21,"3",NA
18,21,"3",NA
19,21,"3",0
20,21,"3",0
21,21,"3",0
22,21,"3",0
23,21,"3",0
24,21,"3",0
25,21,"3",0
26,21,"3",0
27,21,"3",0
28,21,"3",0
29,21,"3",0
30,21,"3",0
31,21,"3",0
32,21,"3",0
33,21,"3",0
34,21,"3",0
35,21,"3",0.0514121701500093
36,21,"3",0
37,21,"3",0
38,21,"3",0
39,21,"3",0
40,21,"3",0
41,21,"3",0
42,21,"3",0
43,21,"3",0
44,21,"3",0
45,21,"3",0
46,21,"3",0
47,21,"3",0
48,21,"3",0
49,21,"3",0
15,21,"4",NA
16,21,"4",NA
17,21,"4",NA
18,21,"4",NA
19,21,"4",NA
20,21,"4",0
21,21,"4",0
22,21,"4",0
23,21,"4",0
24,21,"4",0
25,21,"4",0
26,21,"4",0
27,21,"4",0.0744036911194354
28,21,"4",0
29,21,"4",0
30,21,"4",0
31,21,"4",0
32,21,"4",0
33,21,"4",0
