,year,probs
0,1960.0,128.3
1,1961.0,128.2
2,1962.0,128.3
3,1963.0,128.6
4,1964.0,128.8
5,1965.0,128.9
6,1966.0,128.6
7,1967.0,128.2
8,1968.0,127.7
9,1969.0,126.7
10,1970.0,125.4
11,1971.0,123.6
12,1972.0,121.4
13,1973.0,118.7
14,1974.0,115.6
15,1975.0,112.2
16,1976.0,108.4
17,1977.0,104.6
18,1978.0,101.0
19,1979.0,97.7
20,1980.0,94.9
21,1981.0,92.5
22,1982.0,90.4
23,1983.0,88.2
24,1984.0,85.7
25,1985.0,82.9
26,1986.0,79.9
27,1987.0,77.0
28,1988.0,74.4
29,1989.0,72.4
30,1990.0,71.0
31,1991.0,70.3
32,1992.0,70.1
33,1993.0,70.3
34,1994.0,70.6
35,1995.0,71.0
36,1996.0,71.2
37,1997.0,71.1
38,1998.0,70.6
39,1999.0,69.4
40,2000.0,67.5
41,2001.0,65.1
42,2002.0,62.2
43,2003.0,59.2
44,2004.0,56.1
45,2005.0,53.2
46,2006.0,50.6
47,2007.0,48.2
48,2008.0,46.2
49,2009.0,44.3
50,2010.0,42.6
51,2011.0,41.1
52,2012.0,39.8
53,2013.0,38.6
54,2014.0,37.5
55,2015.0,36.4
56,2016.0,35.4
57,2017.0,34.4
58,2018.0,33.6
59,2019.0,32.7
