"postpartum","age_grp","From","n","None","Withdrawal","Other.trad","Condom","Pill","Injectable","Implant","IUD","F.sterilization","Other.mod"
"1","<18","Birth",1856.731041,0.957067712964465,0.000792761561850788,0.000900273633115826,0.00215579796513996,0.00416020459045043,0.0124614979170804,0.0215012514566993,0.000960499911198501,0,0
"1","18-20","Birth",1544.87122,0.943513178399427,0.00031776046679153,0.00106601118506176,0.000330131077203963,0.00528797345321767,0.0257968330848962,0.0229603998966335,0.000727712436768678,0,0
"1","20-25","Birth",4787.380607,0.930025183602453,0,0.00552329722047521,0.000801244629347265,0.011868020670202,0.0321689685116778,0.0179180606351986,0.0016952247306457,0,0
"1","25-35","Birth",8163.537238,0.915792333156746,0.000185177081444949,0.00254796767547984,0.00140634968216458,0.0124980582589951,0.0340368157698358,0.0258864133082307,0.00585282979755301,0.0014994963142961,0.000294558955253705
"1",">35","Birth",2452.86547,0.89250826870664,0,0.00697433357403005,0.00129812174330131,0.0133948919750581,0.0315493344198775,0.0358483610599321,0.00772550033084366,0.00860663630280547,0.00209455188751138
"6","<18","None",1394.879441,0.880902184004589,0,0.00767728140886693,0.00352309873925513,0.0187557485120322,0.0556159620105835,0.0309016999842641,0.00262402534040933,0,0
"6","<18","Withdrawal",1.471945,0,0.601926023051133,0,0,0,0,0.398073976948867,0,0,0
"6","<18","Other.trad",1.671566,0,0,1,0,0,0,0,0,0,0
"6","<18","Condom",0,0,0,0,1,0,0,0,0,0,0
"6","<18","Pill",7.099791,0.774123914351845,0,0,0,0.225876085648155,0,0,0,0,0
"6","<18","Injectable",19.476751,0.132630847927357,0,0,0,0,0.867369152072643,0,0,0,0
"6","<18","Implant",29.499246,0,0,0,0,0,0,1,0,0,0
"6","<18","IUD",1.78339,0,0,0,0,0,0,0,1,0,0
"6","<18","F.sterilization",0,0,0,0,0,0,0,0,0,1,0
"6","<18","Other.mod",0,0,0,0,0,0,0,0,0,0,1
"6","18-20","None",1245.33493,0.855116680136805,0.00140981350294254,0.00247610014440051,0.00302369098407928,0.0200601664646153,0.0731983411081226,0.0364768729324889,0.00772660813424707,0,0.00051172659229915
"6","18-20","Withdrawal",0.490899,0,1,0,0,0,0,0,0,0,0
"6","18-20","Other.trad",1.64685,0,0,1,0,0,0,0,0,0,0
"6","18-20","Condom",3.783449,0,0,0,1,0,0,0,0,0,0
"6","18-20","Pill",8.176679,0,0,0,0,0.76256717427699,0.237432825723011,0,0,0,0
"6","18-20","Injectable",35.23301,0.0179480265807548,0,0,0,0,0.982051973419245,0,0,0,0
"6","18-20","Implant",27.172096,0.0268246144868618,0,0,0,0,0,0.973175385513138,0,0,0
"6","18-20","IUD",0,0,0,0,0,0,0,0,1,0,0
"6","18-20","F.sterilization",0,0,0,0,0,0,0,0,0,1,0
"6","18-20","Other.mod",0,0,0,0,0,0,0,0,0,0,1
"6","20-25","None",4061.307597,0.814183751913436,0.000238108042029204,0.00942169438933044,0.00295248579764248,0.0385634681095543,0.0906262242416405,0.042084564618118,0.00192970288824937,0,0
"6","20-25","Withdrawal",0,0,1,0,0,0,0,0,0,0,0
"6","20-25","Other.trad",20.480516,0,0,0.967003077461525,0,0,0.0329969225384751,0,0,0,0
"6","20-25","Condom",2.319777,0,0,0,0.692913155014469,0.307086844985531,0,0,0,0,0
"6","20-25","Pill",48.193811,0.0150245640462009,0,0,0,0.970462597365458,0.0145128385883407,0,0,0,0
"6","20-25","Injectable",133.710196,0.0587648229907613,0,0,0,0,0.941235177009239,0,0,0,0
"6","20-25","Implant",77.432437,0.00684891268500306,0,0,0,0,0.0225081124593818,0.970642974855615,0,0,0
"6","20-25","IUD",7.432575,0,0,0,0,0,0,0,1,0,0
"6","20-25","F.sterilization",0,0,0,0,0,0,0,0,0,1,0
"6","20-25","Other.mod",0,0,0,0,0,0,0,0,0,0,1
"6","25-35","None",7017.764689,0.797730459497315,0.0018000305738094,0.00631911612390057,0.00662942319410106,0.0432223144323214,0.0918580608737763,0.0418307372802252,0.00878718306081978,0,0.0018226749637316
"6","25-35","Withdrawal",1.5117,0,0.421571078917775,0,0,0,0,0.578428921082225,0,0,0
"6","25-35","Other.trad",21.566707,0.0202237179741905,0,0.931585939383328,0,0,0.0481903426424813,0,0,0,0
"6","25-35","Condom",8.837076,0.414186660836684,0,0,0.196076394499719,0,0.0420099363183026,0.347727008345294,0,0,0
"6","25-35","Pill",95.872472,0.0408744336956285,0,0,0,0.85837268282808,0.0483884153941498,0.0523644680821415,0,0,0
"6","25-35","Injectable",247.266348,0.0310917399888156,0,0.013470522887328,0,0.00178314600254459,0.949107987796221,0.00454660332509137,0,0,0
"6","25-35","Implant",198.619354,0.0187103619317984,0,0,0,0,0,0.981289638068202,0,0,0
"6","25-35","IUD",43.425605,0.0541981395538416,0,0,0,0,0.0185462010258694,0,0.927255659420289,0,0
"6","25-35","F.sterilization",12.241194,0,0,0,0,0,0,0,0,1,0
"6","25-35","Other.mod",2.404643,0,0,0,0,0,0,0,0,0,1
"6",">35","None",2174.556438,0.814234795684802,0.000675033296146623,0.0114734938877682,0.00736098853094012,0.035527702868478,0.0684904458662756,0.0434386187221138,0.0145098436851884,0.000832387685308722,0.00345668977297889
"6",">35","Withdrawal",0,0,1,0,0,0,0,0,0,0,0
"6",">35","Other.trad",16.859038,0,0,0.975375522612856,0,0,0,0.0246244773871439,0,0,0
"6",">35","Condom",2.384242,0,0,0,1,0,0,0,0,0,0
