postpartum,From,n,age_grp,Pill,IUD,Injectable,Condom,F.sterilization,Withdrawal,Implant,Other.trad,Other.mod,group
1,Birth,79.71371,<18,0.096901537,0.022372438,0.290259354,0.050213909,0,0.018465393,0.500817751,0.020969617,0,grp1<18
1,Birth,87.264865,18-20,0.093614286,0.012882871,0.456687637,0.005844391,0,0.005625391,0.406473568,0.018871856,0,grp118-20
1,Birth,263.662756,>35,0.124613231,0.071870648,0.293504757,0.01207648,0.080067892,0,0.333498778,0.064882512,0.019485702,grp1>35
1,Birth,334.996079,20-25,0.16960417,0.024226212,0.459722085,0.011450471,0,0,0.256064418,0.078932643,0,grp120-25
1,Birth,687.432424,25-35,0.148419482,0.069504714,0.404200912,0.01670097,0.017807123,0.002199053,0.307411597,0.030258144,0.003498006,grp125-35
6,None,166.127095,<18,0.157481885,0.022032523,0.466977178,0.029581556,0,0,0.259464875,0.064461983,0,grp6<18
6,None,180.428259,18-20,0.138457391,0.053329867,0.505222694,0.020869835,0,0.009730682,0.251767236,0.017090305,0.003531991,grp618-20
6,None,403.956921,>35,0.191250579,0.078108512,0.368693621,0.039625228,0.004480859,0.003633798,0.233836142,0.061763418,0.018607843,grp6>35
6,None,754.65694,20-25,0.207535501,0.010385006,0.48771959,0.015889277,0,0.001281417,0.226484848,0.050704362,0,grp620-25
6,None,1419.480039,25-35,0.213686719,0.043442938,0.454136894,0.032775193,0,0.008899168,0.206806903,0.031241066,0.009011119,grp625-35
0,None,147.590019,18-20,0.117916307,0.020618657,0.408855324,0.178591589,0,0,0.134807476,0.107421817,0.03178883,grpNo18-20
0,None,159.031648,<18,0.078452894,0.006103408,0.288778263,0.431526126,0,0,0.17769448,0.014784466,0.002660364,grpNo<18
0,None,670.346782,20-25,0.215128897,0.019563429,0.414374193,0.079832641,0,0.008659904,0.222205706,0.029084892,0.011150336,grpNo20-25
0,None,724.118463,>35,0.239070149,0.101444278,0.342263585,0.029920985,0.006551972,0.00291564,0.228585746,0.044389785,0.004857858,grpNo>35
0,None,1286.103617,25-35,0.231346548,0.043399222,0.436947009,0.028808584,0,0.00473021,0.22438095,0.025825362,0.004562114,grpNo25-35
0,Pill,2.608839,<18,0,0,1,0,0,0,0,0,0,grpNo<18
