"estimate","coef","se","method","functionform","country"
0.0933109892293785,"shape",0.0143054653893266,"None","weibull","Senegal"
3.1126945620892,"scale",0.0300178427733772,"None","weibull","Senegal"
-0.178819530370836,"age_grp_fact(0,18]",0.0662660468254211,"None","weibull","Senegal"
-0.0377103912548688,"age_grp_fact(18,20]",0.0609516958110393,"None","weibull","Senegal"
0.122441441577339,"age_grp_fact(25,35]",0.0383931723289165,"None","weibull","Senegal"
0.708256459867913,"age_grp_fact(35,50]",0.0526173597221561,"None","weibull","Senegal"
-2.75225629360671,"rate",0.13018890013175,"Pill","exponential","Senegal"
1.28591922481328,"age_grp_fact(0,18]",0.591846624975795,"Pill","exponential","Senegal"
0.313869659453597,"age_grp_fact(18,20]",0.328417760596266,"Pill","exponential","Senegal"
-0.42016705809394,"age_grp_fact(25,35]",0.155052723668575,"Pill","exponential","Senegal"
-1.05893109076191,"age_grp_fact(35,50]",0.19328039109401,"Pill","exponential","Senegal"
0.609689857435474,"shape",0.16597383297493,"IUD","gamma","Senegal"
-2.43426308956473,"rate",0.375685692624547,"IUD","gamma","Senegal"
0.181257109892774,"age_grp_fact(18,20]",0.607958607371086,"IUD","gamma","Senegal"
-0.333538526756558,"age_grp_fact(25,35]",0.331117980818492,"IUD","gamma","Senegal"
-1.66697096198077,"age_grp_fact(35,50]",0.4117886426897,"IUD","gamma","Senegal"
0.361468207072822,"shape",0.0472771864503288,"Injectable","gamma","Senegal"
-2.57110018928898,"rate",0.0817782870576649,"Injectable","gamma","Senegal"
0.605087394065895,"age_grp_fact(0,18]",0.17181080460192,"Injectable","gamma","Senegal"
0.157885296424069,"age_grp_fact(18,20]",0.141181813262778,"Injectable","gamma","Senegal"
-0.319043262216545,"age_grp_fact(25,35]",0.0777660458381889,"Injectable","gamma","Senegal"
-0.777491024308366,"age_grp_fact(35,50]",0.10439783945167,"Injectable","gamma","Senegal"
-4.52540521971892,"rate",1.48947685620125,"Condom","exponential","Senegal"
-18.8917952650858,"age_grp_fact(0,18]",12412.0873665112,"Condom","exponential","Senegal"
-18.8029994637397,"age_grp_fact(18,20]",14894.7685620125,"Condom","exponential","Senegal"
0.773550964243904,"age_grp_fact(25,35]",1.48947685620125,"Condom","exponential","Senegal"
0.764205101825666,"age_grp_fact(35,50]",1.48947685620125,"Condom","exponential","Senegal"
0.460273989175947,"shape",0.713995430992768,"Withdrawal","gamma","Senegal"
-2.06545534626995,"rate",0.908485264179478,"Withdrawal","gamma","Senegal"
-1.74902151027947,"age_grp_fact(25,35]",1.0498971825122,"Withdrawal","gamma","Senegal"
0.415154213503272,"shape",0.0517258563439433,"Implant","weibull","Senegal"
3.62019148799878,"scale",0.078110776865133,"Implant","weibull","Senegal"
-0.0645713104327237,"age_grp_fact(0,18]",0.260944796217369,"Implant","weibull","Senegal"
0.0291901974871709,"age_grp_fact(18,20]",0.177405480993205,"Implant","weibull","Senegal"
0.440369277634108,"age_grp_fact(25,35]",0.100905725216067,"Implant","weibull","Senegal"
1.04747793020186,"age_grp_fact(35,50]",0.139633979494402,"Implant","weibull","Senegal"
0.357856624373478,"shape",0.133834128027313,"Other.trad","weibull","Senegal"
3.80467568837297,"scale",0.322313920883536,"Other.trad","weibull","Senegal"
-0.69791014978495,"age_grp_fact(0,18]",0.512577161712572,"Other.trad","weibull","Senegal"
-0.111126144035346,"age_grp_fact(18,20]",0.766822025238098,"Other.trad","weibull","Senegal"
-0.310023671330851,"age_grp_fact(25,35]",0.348859062853251,"Other.trad","weibull","Senegal"
0.348780479161344,"age_grp_fact(35,50]",0.424727159999778,"Other.trad","weibull","Senegal"
1.37816227570979,"shape",0.822891324784395,"Other.mod","gamma","Senegal"
-3.90934899017173,"rate",21.415931171471,"Other.mod","gamma","Senegal"
1.87267914322936,"age_grp_fact(25,35]",21.336201738907,"Other.mod","gamma","Senegal"
-2.32315960929123,"age_grp_fact(35,50]",132.324841298317,"Other.mod","gamma","Senegal"
