age,male,female
0,0.03075891,0.02768283
5,0.00266326,0.00262118
10,0.00164035,0.00161414
15,0.00247776,0.0023998
20,0.00376541,0.00311697
25,0.00377009,0.00354105
30,0.00433534,0.00376715
35,0.00501743,0.00429043
40,0.00656144,0.00503436
45,0.00862479,0.00602394
50,0.01224844,0.00840777
55,0.01757291,0.01193858
60,0.02655129,0.01954465
65,0.0403916,0.03220238
70,0.06604032,0.05614077
75,0.10924413,0.0957751
80,0.17495116,0.15973906
85,0.26531436,0.24231313
90,0.36505174,0.33755308
95,0.43979833,0.41632442
