,month,probs
0,0.0,0.104166667
1,1.0,0.3
2,2.0,0.38317757
3,3.0,0.461538462
4,4.0,0.476635514
5,5.0,0.5
6,6.0,0.565217391
7,7.0,0.541666667
8,8.0,0.547368421
9,9.0,0.617391304
10,10.0,0.578947368
11,11.0,0.637254902
12,12.0,0.608247423
13,13.0,0.582278481
14,14.0,0.542553191
15,15.0,0.67826087
16,16.0,0.6
17,17.0,0.605042017
18,18.0,0.5625
19,19.0,0.529411765
20,20.0,0.674698795
21,21.0,0.548780488
22,22.0,0.616161616
23,23.0,0.709401709
24,24.0,0.651376147
25,25.0,0.78021978
26,26.0,0.717647059
27,27.0,0.71641791
28,28.0,0.683544304
29,29.0,0.71641791
30,30.0,0.640625
31,31.0,0.65
32,32.0,0.676470588
33,33.0,0.64516129
34,34.0,0.606557377
35,35.0,0.644736842
