year,tfr
1960,6.996288
1961,7.037563
1962,7.079175
1963,7.11955
1964,7.157125
1965,7.190025
1966,7.216675
1967,7.23685
1968,7.250775
1969,7.258763
1970,7.261675
1971,7.260838
1972,7.258025
1973,7.2548
1974,7.2521
1975,7.252275
1976,7.2577
1977,7.2676
1978,7.279425
1979,7.289738
1980,7.29205
1981,7.278863
1982,7.245375
1983,7.1893
1984,7.11095
1985,7.013375
1986,6.90205
1987,6.7847
1988,6.577487
1989,6.478913
1990,6.396343
1991,6.266797
1992,6.149415
1993,6.048599
1994,5.915353
1995,5.818894
1996,5.722785
1997,5.639499
1998,5.580702
1999,5.572798
2000,5.497834
2001,5.411606
2002,5.311407
2003,5.251875
2004,5.184399
2005,5.185512
2006,5.197545
2007,5.110383
2008,5.050855
2009,5.081175
2010,5.064239
2011,5.039238
2012,5.004609
2013,4.959783
2014,4.90471
2015,4.781253
2016,4.683262
2017,4.621878
2018,4.584347
2019,4.51713
2020,4.454199
