,t,pop_size_months,pregnancies,births,deaths,stillbirths,miscarriages,abortions,total_births,maternal_deaths,infant_deaths,cum_maternal_deaths,cum_infant_deaths,on_methods_mcpr,no_methods_mcpr,on_methods_cpr,no_methods_cpr,on_methods_acpr,no_methods_acpr,mcpr,cpr,acpr,pp0to5,pp6to11,pp12to23,nonpostpartum,total_women_fecund,unintended_pregs,total_births_10-14,total_births_15-19,total_births_20-24,total_births_25-29,total_births_30-34,total_births_35-39,total_births_40-44,total_births_45-49,total_women_10-14,total_women_15-19,total_women_20-24,total_women_25-29,total_women_30-34,total_women_35-39,total_women_40-44,total_women_45-49
0,2012.0,754.0,8.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,0.0,183.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,45.0,27.0,25.0,29.0,27.0,18.0,12.0
1,2012.0833333333333,754.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,0.0,183.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,45.0,27.0,24.0,30.0,27.0,16.0,14.0
2,2012.1666666666667,753.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,0.0,182.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,43.0,29.0,24.0,29.0,27.0,16.0,14.0
3,2012.25,753.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,0.0,183.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,43.0,30.0,24.0,28.0,27.0,17.0,14.0
4,2012.3333333333333,752.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,0.0,183.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,43.0,29.0,25.0,28.0,26.0,16.0,16.0
5,2012.4166666666667,752.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,0.0,183.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,42.0,29.0,25.0,29.0,26.0,16.0,16.0
6,2012.5,751.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0,185.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,43.0,30.0,24.0,29.0,26.0,17.0,16.0
7,2012.5833333333333,751.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,186.0,1.0,186.0,1.0,71.0,0.0053475935828877,0.0053475935828877,0.013888888888888888,0.0,0.0,0.0,100.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,44.0,31.0,24.0,27.0,27.0,18.0,16.0
8,2012.6666666666667,749.0,5.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,186.0,1.0,186.0,1.0,69.0,0.0053475935828877,0.0053475935828877,0.014285714285714285,0.0,0.0,0.0,100.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,43.0,31.0,25.0,26.0,28.0,18.0,16.0
9,2012.75,753.0,3.0,6.0,0.0,0.0,1.0,1.0,6.0,0.0,2.0,0.0,0.0,1.0,186.0,1.0,186.0,0.0,79.0,0.0053475935828877,0.0053475935828877,0.0,3.1914893617021276,0.0,0.0,96.80851063829788,188.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,39.0,41.0,33.0,25.0,26.0,28.0,18.0,16.0
